smiles,solvent,quantum_yield,source
Nc1ccccc1C(=O)O,c1ccccc1,0.39,deep4chem
Nc1ccccc1C(=O)O,CC(C)=O,0.31,deep4chem
Nc1ccccc1C(=O)O,CCO,0.59,deep4chem
Nc1ccccc1C(=O)O,OCC(F)(F)F,0.27,deep4chem
Nc1ccccc1C(=O)O,CC#N,0.56,deep4chem
Nc1ccccc1C(=O)O,CS(C)=O,0.64,deep4chem
Nc1ccccc1C(=O)O,O,0.6,deep4chem
O=c1[nH]c(=O)c2nc3ccccc3nc2[nH]1,CC#N,0.009,deep4chem
Cc1cccc2nc3[nH]c(=O)[nH]c(=O)c3nc12,CC#N,0.017,deep4chem
Cc1ccc2nc3[nH]c(=O)[nH]c(=O)c3nc2c1,CC#N,0.025,deep4chem
Cc1ccc2nc3c(=O)[nH]c(=O)[nH]c3nc2c1,CC#N,0.017,deep4chem
Cc1cccc2nc3c(=O)[nH]c(=O)[nH]c3nc12,CC#N,0.018,deep4chem
Cc1ccc2nc3[nH]c(=O)[nH]c(=O)c3nc2c1C,CC#N,0.041,deep4chem
Cc1cc(C)c2nc3c(=O)[nH]c(=O)[nH]c3nc2c1,CC#N,0.02,deep4chem
Cc1ccc(C)c2nc3c(=O)[nH]c(=O)[nH]c3nc12,CC#N,0.08,deep4chem
Cc1cc2nc3[nH]c(=O)[nH]c(=O)c3nc2cc1C,CC#N,0.028,deep4chem
Cc1cc2nc3c(=O)[nH]c(=O)n(C)c3nc2cc1C,CC#N,0.027,deep4chem
Cc1cc2nc3[nH]c(=O)n(C)c(=O)c3nc2cc1C,CC#N,0.026,deep4chem
Cc1cc2nc3c(=O)n(C)c(=O)n(C)c3nc2cc1C,CC#N,0.028,deep4chem
Cc1cc(C)c2nc3[nH]c(=O)[nH]c(=O)c3nc2c1,CC#N,0.043,deep4chem
Cc1ccc2nc3c(=O)[nH]c(=O)[nH]c3nc2c1C,CC#N,0.019,deep4chem
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C)c2cc1C,CC#N,0.16,deep4chem
Cc1cc2nc3c(=O)n(C)c(=O)nc-3n(C)c2cc1C,CC#N,0.17,deep4chem
Cc1cccc2c1nc1c(=O)n(C)c(=O)nc-1n2C,CC#N,0.14,deep4chem
Cc1ccc2c(c1)nc1c(=O)n(C)c(=O)nc-1n2C,CC#N,0.43,deep4chem
Cc1ccc2nc3c(=O)n(C)c(=O)nc-3n(C)c2c1,CC#N,0.28,deep4chem
Cc1cccc2nc3c(=O)n(C)c(=O)nc-3n(C)c12,CC#N,0.07,deep4chem
Cn1c(=O)nc2n(C)c3ccccc3nc-2c1=O,CC#N,0.38,deep4chem
CN(C)c1ccc(-c2nc(C#N)c(C#N)n2C)cc1,C1CCCCC1,0.85,deep4chem
CN(C)c1ccc(-c2nc(C#N)c(C#N)n2C)cc1,ClC(Cl)Cl,0.73,deep4chem
CN(C)c1ccc(-c2nc(C#N)c(C#N)n2C)cc1,CC#N,0.02,deep4chem
CN(C)c1ccc(-c2nc(C#N)c(C#N)n2C)cc1,CO,0.003,deep4chem
CN(C)c1ccc(-c2ccc(-c3nc(C#N)c(C#N)n3C)cc2)cc1,C1CCCCC1,0.98,deep4chem
CN(C)c1ccc(-c2ccc(-c3nc(C#N)c(C#N)n3C)cc2)cc1,ClC(Cl)Cl,0.73,deep4chem
CN(C)c1ccc(-c2ccc(-c3nc(C#N)c(C#N)n3C)cc2)cc1,CC#N,0.013,deep4chem
CN(C)c1ccc(-c2ccc(-c3nc(C#N)c(C#N)n3C)cc2)cc1,CO,0.011,deep4chem
CN(C)c1ccc(/C=C/c2ccc(-c3nc(C#N)c(C#N)n3C)cc2)cc1,C1CCCCC1,0.17,deep4chem
CN(C)c1ccc(/C=C/c2ccc(-c3nc(C#N)c(C#N)n3C)cc2)cc1,ClC(Cl)Cl,0.16,deep4chem
CN(C)c1ccc(/C=C/c2ccc(-c3nc(C#N)c(C#N)n3C)cc2)cc1,CC#N,0.002,deep4chem
CN(C)c1ccc(/C=C/c2ccc(-c3nc(C#N)c(C#N)n3C)cc2)cc1,CO,0.002,deep4chem
CN(C)c1ccc(C#Cc2ccc(-c3nc(C#N)c(C#N)n3C)cc2)cc1,C1CCCCC1,0.84,deep4chem
CN(C)c1ccc(C#Cc2ccc(-c3nc(C#N)c(C#N)n3C)cc2)cc1,ClC(Cl)Cl,0.88,deep4chem
CN(C)c1ccc(C#Cc2ccc(-c3nc(C#N)c(C#N)n3C)cc2)cc1,CC#N,0.005,deep4chem
CN(C)c1ccc(C#Cc2ccc(-c3nc(C#N)c(C#N)n3C)cc2)cc1,CO,0.003,deep4chem
O=C([O-])c1ccccc1O,O,0.16,deep4chem
Cc1ccc(C(=O)[O-])c(O)c1,O,0.11,deep4chem
COc1ccc(C(=O)[O-])c(O)c1,O,0.042,deep4chem
Nc1ccc(C(=O)[O-])c(O)c1,O,0.014,deep4chem
Cc1ccc(O)c(C(=O)[O-])c1,O,0.16,deep4chem
COc1ccc(O)c(C(=O)[O-])c1,O,0.19,deep4chem
Nc1ccc(O)c(C(=O)[O-])c1,O,0.03,deep4chem
O=C([O-])c1ccccc1O,CO,0.26,deep4chem
Cc1ccc(O)c(C(=O)[O-])c1,CO,0.27,deep4chem
COc1ccc(O)c(C(=O)[O-])c1,CO,0.25,deep4chem
Nc1ccc(O)c(C(=O)[O-])c1,CO,0.091,deep4chem
Cc1ccc(C(=O)[O-])c(O)c1,CO,0.079,deep4chem
COc1ccc(C(=O)[O-])c(O)c1,CO,0.21,deep4chem
Nc1ccc(C(=O)[O-])c(O)c1,CO,0.022,deep4chem
O=S(=O)(c1cccc(-n2c3ccccc3c3ccccc32)c1)c1cccc(-n2c3ccccc3c3ccccc32)c1,c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,0.218,deep4chem
O=S(=O)(c1cccc(N2c3ccccc3Sc3ccccc32)c1)c1cccc(N2c3ccccc3Sc3ccccc32)c1,c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,0.116,deep4chem
O=S(=O)(c1cccc(N2c3ccccc3Oc3ccccc32)c1)c1cccc(N2c3ccccc3Oc3ccccc32)c1,c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,0.321,deep4chem
CC1(C)c2ccccc2N(c2cccc(S(=O)(=O)c3cccc(N4c5ccccc5C(C)(C)c5ccccc54)c3)c2)c2ccccc21,c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,0.365,deep4chem
O=S(=O)(c1cccc(-n2c3ccccc3c3ccccc32)c1)c1cccc(-n2c3ccccc3c3ccccc32)c1,CCCCC(CC)n1c2ccc(-n3c4ccccc4c4ccccc43)cc2c2cc(-n3c4ccccc4c4ccccc43)ccc21,0.109,deep4chem
O=S(=O)(c1cccc(N2c3ccccc3Sc3ccccc32)c1)c1cccc(N2c3ccccc3Sc3ccccc32)c1,CCCCC(CC)n1c2ccc(-n3c4ccccc4c4ccccc43)cc2c2cc(-n3c4ccccc4c4ccccc43)ccc21,0.082,deep4chem
O=S(=O)(c1cccc(N2c3ccccc3Oc3ccccc32)c1)c1cccc(N2c3ccccc3Oc3ccccc32)c1,CCCCC(CC)n1c2ccc(-n3c4ccccc4c4ccccc43)cc2c2cc(-n3c4ccccc4c4ccccc43)ccc21,0.208,deep4chem
CC1(C)c2ccccc2N(c2cccc(S(=O)(=O)c3cccc(N4c5ccccc5C(C)(C)c5ccccc54)c3)c2)c2ccccc21,CCCCC(CC)n1c2ccc(-n3c4ccccc4c4ccccc43)cc2c2cc(-n3c4ccccc4c4ccccc43)ccc21,0.239,deep4chem
CN(C)c1ccc(/C=C/c2nc3c(ccc4ccccc43)s2)cc1,C1CCCCC1,0.012,deep4chem
FC(F)(F)c1ccc(/C=C/c2nc3c(ccc4ccccc43)s2)cc1,C1CCCCC1,0.14,deep4chem
CC(C)c1ccc(/C=C/c2nc3ccc(N(C)C)cc3s2)cc1,C1CCCCC1,0.51,deep4chem
CN(C)c1ccc(/C=C/c2nc3c(ccc4ccccc43)s2)cc1,CC#N,0.008,deep4chem
FC(F)(F)c1ccc(/C=C/c2nc3c(ccc4ccccc43)s2)cc1,CC#N,0.14,deep4chem
CC(C)c1ccc(/C=C/c2nc3ccc(N(C)C)cc3s2)cc1,CC#N,0.54,deep4chem
CN(C)c1ccc2nc(-c3ccccc3)sc2c1,C1CCCCC1,0.84,deep4chem
CN(C)c1ccc2nc(-c3ccccc3)sc2c1Cl,C1CCCCC1,0.023,deep4chem
CC(=O)c1ccc(-c2nc3ccc(N(C)C)cc3s2)cc1,C1CCCCC1,0.88,deep4chem
CC(=O)c1ccc(-c2nc3ccc(N(C)C)c(Cl)c3s2)cc1,C1CCCCC1,0.5,deep4chem
CC(=O)c1ccc(-c2nc3ccc(N(C)C)c(Br)c3s2)cc1,C1CCCCC1,0.11,deep4chem
CN(C)c1ccc2nc(-c3ccccc3)sc2c1,ClC(Cl)Cl,0.84,deep4chem
CN(C)c1ccc2nc(-c3ccccc3)sc2c1Cl,ClC(Cl)Cl,0.34,deep4chem
CC(=O)c1ccc(-c2nc3ccc(N(C)C)cc3s2)cc1,ClC(Cl)Cl,0.99,deep4chem
CC(=O)c1ccc(-c2nc3ccc(N(C)C)c(Cl)c3s2)cc1,ClC(Cl)Cl,0.9,deep4chem
CC(=O)c1ccc(-c2nc3ccc(N(C)C)c(Br)c3s2)cc1,ClC(Cl)Cl,0.82,deep4chem
CN(C)c1ccc2nc(-c3ccccc3)sc2c1,CC#N,0.83,deep4chem
CN(C)c1ccc2nc(-c3ccccc3)sc2c1Cl,CC#N,0.52,deep4chem
CC(=O)c1ccc(-c2nc3ccc(N(C)C)cc3s2)cc1,CC#N,0.88,deep4chem
CC(=O)c1ccc(-c2nc3ccc(N(C)C)c(Cl)c3s2)cc1,CC#N,0.7,deep4chem
CC(=O)c1ccc(-c2nc3ccc(N(C)C)c(Br)c3s2)cc1,CC#N,0.54,deep4chem
CN(C)c1ccc2nc(-c3ccccc3)sc2c1,CO,0.94,deep4chem
CN(C)c1ccc2nc(-c3ccccc3)sc2c1Cl,CO,0.55,deep4chem
CC(=O)c1ccc(-c2nc3ccc(N(C)C)cc3s2)cc1,CO,0.041,deep4chem
CC(=O)c1ccc(-c2nc3ccc(N(C)C)c(Cl)c3s2)cc1,CO,0.054,deep4chem
CC(=O)c1ccc(-c2nc3ccc(N(C)C)c(Br)c3s2)cc1,CO,0.046,deep4chem
CCCCCCCCN1c2ccc(C#Cc3ccc(OC)cc3)cc2Sc2cc(C=O)ccc21,CCCCCC,0.59,deep4chem
CCCCCCCCN1c2ccc(C#Cc3ccc(OC)cc3)cc2Sc2cc(C=O)ccc21,Cc1ccccc1,0.49,deep4chem
CCCCCCCCN1c2ccc(C#Cc3ccc(OC)cc3)cc2Sc2cc(C=O)ccc21,C1CCOC1,0.54,deep4chem
CCCCCCCCN1c2ccc(C#Cc3ccc(OC)cc3)cc2Sc2cc(C=O)ccc21,ClC(Cl)Cl,0.58,deep4chem
CCCCCCCCN1c2ccc(C#Cc3ccc(OC)cc3)cc2Sc2cc(C=O)ccc21,CS(C)=O,0.91,deep4chem
CCCCCCCCN1c2ccc(C#Cc3ccc(OC)cc3)cc2Sc2cc(C=O)ccc21,CC#N,0.34,deep4chem
CCCCCCCCN1c2ccc(C#Cc3ccc(OC)cc3)cc2Sc2cc(C=O)ccc21,CO,0.07,deep4chem
CCCCCCCCN1c2ccc(C#Cc3ccc(F)cc3)cc2Sc2cc(C=O)ccc21,CCCCCC,0.48,deep4chem
CCCCCCCCN1c2ccc(C#Cc3ccc(F)cc3)cc2Sc2cc(C=O)ccc21,Cc1ccccc1,0.52,deep4chem
CCCCCCCCN1c2ccc(C#Cc3ccc(F)cc3)cc2Sc2cc(C=O)ccc21,C1CCOC1,0.64,deep4chem
CCCCCCCCN1c2ccc(C#Cc3ccc(F)cc3)cc2Sc2cc(C=O)ccc21,ClC(Cl)Cl,0.4,deep4chem
CCCCCCCCN1c2ccc(C#Cc3ccc(F)cc3)cc2Sc2cc(C=O)ccc21,CS(C)=O,0.75,deep4chem
CCCCCCCCN1c2ccc(C#Cc3ccc(F)cc3)cc2Sc2cc(C=O)ccc21,CC#N,0.24,deep4chem
CCCCCCCCN1c2ccc(C#Cc3ccc(F)cc3)cc2Sc2cc(C=O)ccc21,CO,0.07,deep4chem
CCCCCCCCN1c2ccc(C#Cc3ccc(C(F)(F)F)cc3)cc2Sc2cc(C=O)ccc21,CCCCCC,0.57,deep4chem
CCCCCCCCN1c2ccc(C#Cc3ccc(C(F)(F)F)cc3)cc2Sc2cc(C=O)ccc21,Cc1ccccc1,0.62,deep4chem
CCCCCCCCN1c2ccc(C#Cc3ccc(C(F)(F)F)cc3)cc2Sc2cc(C=O)ccc21,C1CCOC1,0.67,deep4chem
CCCCCCCCN1c2ccc(C#Cc3ccc(C(F)(F)F)cc3)cc2Sc2cc(C=O)ccc21,ClC(Cl)Cl,0.59,deep4chem
CCCCCCCCN1c2ccc(C#Cc3ccc(C(F)(F)F)cc3)cc2Sc2cc(C=O)ccc21,CS(C)=O,0.72,deep4chem
CCCCCCCCN1c2ccc(C#Cc3ccc(C(F)(F)F)cc3)cc2Sc2cc(C=O)ccc21,CC#N,0.63,deep4chem
CCCCCCCCN1c2ccc(C#Cc3ccc(C(F)(F)F)cc3)cc2Sc2cc(C=O)ccc21,CO,0.23,deep4chem
CCCCCCCCN1c2ccc(C#Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc2Sc2cc(C=O)ccc21,CCCCCC,0.6,deep4chem
CCCCCCCCN1c2ccc(C#Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc2Sc2cc(C=O)ccc21,Cc1ccccc1,0.67,deep4chem
CCCCCCCCN1c2ccc(C#Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc2Sc2cc(C=O)ccc21,C1CCOC1,0.53,deep4chem
CCCCCCCCN1c2ccc(C#Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc2Sc2cc(C=O)ccc21,ClC(Cl)Cl,0.63,deep4chem
CCCCCCCCN1c2ccc(C#Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc2Sc2cc(C=O)ccc21,CS(C)=O,0.77,deep4chem
CCCCCCCCN1c2ccc(C#Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc2Sc2cc(C=O)ccc21,CC#N,0.53,deep4chem
CCCCCCCCN1c2ccc(C#Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc2Sc2cc(C=O)ccc21,CO,0.11,deep4chem
Cc1cc(=O)c2ccc(N)cc2o1,C1COCCO1,0.0018,deep4chem
Cc1cc(=O)c2ccc(N)cc2o1,ClC(Cl)Cl,0.005,deep4chem
Cc1cc(=O)c2ccc(N)cc2o1,CCOC(C)=O,0.028,deep4chem
Cc1cc(=O)c2ccc(N)cc2o1,C1CCOC1,0.11,deep4chem
Cc1cc(=O)c2ccc(N)cc2o1,CCCCO,0.785,deep4chem
Cc1cc(=O)c2ccc(N)cc2o1,CS(C)=O,0.201,deep4chem
Cc1cc(=O)c2ccc(N)cc2o1,CN(C)C=O,0.718,deep4chem
Cc1cc(=O)c2ccc(N)cc2o1,CCCO,0.8498,deep4chem
Cc1cc(=O)c2ccc(N)cc2o1,CC(C)O,0.7599,deep4chem
Cc1cc(=O)c2ccc(N)cc2o1,CC#N,0.0084,deep4chem
Cc1cc(=O)c2ccc(N)cc2o1,CO,0.6994,deep4chem
Cc1cc(=O)c2ccc(N)cc2o1,O,0.5569,deep4chem
N#Cc1coc2ccccc2c1=O,C1COCCO1,0.0009,deep4chem
N#Cc1coc2ccccc2c1=O,ClC(Cl)Cl,0.002,deep4chem
N#Cc1coc2ccccc2c1=O,CCOC(C)=O,0.002,deep4chem
N#Cc1coc2ccccc2c1=O,C1CCOC1,0.035,deep4chem
N#Cc1coc2ccccc2c1=O,CCCCO,0.003,deep4chem
N#Cc1coc2ccccc2c1=O,CS(C)=O,0.003,deep4chem
N#Cc1coc2ccccc2c1=O,CN(C)C=O,0.001,deep4chem
N#Cc1coc2ccccc2c1=O,CCCO,0.001,deep4chem
N#Cc1coc2ccccc2c1=O,CC(C)O,0.001,deep4chem
N#Cc1coc2ccccc2c1=O,CC#N,0.0005,deep4chem
N#Cc1coc2ccccc2c1=O,CO,0.003,deep4chem
N#Cc1coc2ccccc2c1=O,O,0.001,deep4chem
O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(Cl)c(=O)c(Cl)c-2oc2c(Cl)c(O)c(Cl)cc12,O,0.628,deep4chem
CC(C)(C)c1ccc(/C=C/c2ccc(N(c3ccc(/C=C/c4ccc(C(C)(C)C)cc4)cc3)c3ccc(-c4nc5ccccc5nc4-c4ccc(N(c5ccc(/C=C/c6ccc(C(C)(C)C)cc6)cc5)c5ccc(/C=C/c6ccc(C(C)(C)C)cc6)cc5)cc4)cc3)cc2)cc1,C1CCOC1,0.72,deep4chem
CCCCCCOc1ccc(/C=C/c2ccc(N(c3ccc(/C=C/c4ccc(OCCCCCC)cc4)cc3)c3ccc(-c4nc5ccccc5nc4-c4ccc(N(c5ccc(/C=C/c6ccc(OCCCCCC)cc6)cc5)c5ccc(/C=C/c6ccc(OCCCCCC)cc6)cc5)cc4)cc3)cc2)cc1,C1CCOC1,0.66,deep4chem
C(=C/c1ccc(N(c2ccc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)c2ccc(-c3nc4ccccc4nc3-c3ccc(N(c4ccc(/C=C/c5ccc(N(c6ccccc6)c6ccccc6)cc5)cc4)c4ccc(/C=C/c5ccc(N(c6ccccc6)c6ccccc6)cc5)cc4)cc3)cc2)cc1)\c1ccc(N(c2ccccc2)c2ccccc2)cc1,C1CCOC1,0.62,deep4chem
C(=C/c1ccccn1)\c1ccc(N(c2ccc(/C=C/c3ccccn3)cc2)c2ccc(-c3nc4ccccc4nc3-c3ccc(N(c4ccc(/C=C/c5ccccn5)cc4)c4ccc(/C=C/c5ccccn5)cc4)cc3)cc2)cc1,C1CCOC1,0.55,deep4chem
CCOC(=O)c1ccc(C2CC(c3cccc4ccccc34)=NN2c2ccc(OC)cc2)cc1,ClCCl,0.502,deep4chem
CCOC(=O)c1ccc(C2CC(c3cccc4ccccc34)=NN2c2ccc(C)cc2)cc1,ClCCl,0.294,deep4chem
CCOC(=O)c1ccc(C2CC(c3cccc4ccccc34)=NN2c2ccc(Cl)cc2)cc1,ClCCl,0.247,deep4chem
CCOC(=O)c1ccc(C2CC(c3cccc4ccccc34)=NN2c2ccc(F)cc2)cc1,ClCCl,0.191,deep4chem
CCOC(=O)c1ccc(C2CC(c3cccc4ccccc34)=NN2c2ccc(C#N)cc2)cc1,ClCCl,0.258,deep4chem
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2ccccc2)=CC(/C=C/c2ccccc2)=[O+]1,Cc1ccccc1,0.72,deep4chem
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2ccccc2)=CC(/C=C/c2ccccc2)=[O+]1,C1CCOC1,0.73,deep4chem
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2ccccc2)=CC(/C=C/c2ccccc2)=[O+]1,ClC(Cl)Cl,0.66,deep4chem
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2ccccc2)=CC(/C=C/c2ccccc2)=[O+]1,ClCCl,0.67,deep4chem
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2ccccc2)=CC(/C=C/c2ccccc2)=[O+]1,CC(C)=O,0.57,deep4chem
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2ccccc2)=CC(/C=C/c2ccccc2)=[O+]1,CC#N,0.64,deep4chem
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2ccccc2)=CC(/C=C/c2ccccc2)=[O+]1,CS(C)=O,0.52,deep4chem
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2ccc(C)cc2)=CC(/C=C/c2ccc(C)cc2)=[O+]1,Cc1ccccc1,0.88,deep4chem
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2ccc(C)cc2)=CC(/C=C/c2ccc(C)cc2)=[O+]1,C1CCOC1,0.75,deep4chem
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2ccc(C)cc2)=CC(/C=C/c2ccc(C)cc2)=[O+]1,ClC(Cl)Cl,0.63,deep4chem
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2ccc(C)cc2)=CC(/C=C/c2ccc(C)cc2)=[O+]1,ClCCl,0.56,deep4chem
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2ccc(C)cc2)=CC(/C=C/c2ccc(C)cc2)=[O+]1,CC(C)=O,0.58,deep4chem
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2ccc(C)cc2)=CC(/C=C/c2ccc(C)cc2)=[O+]1,CC#N,0.55,deep4chem
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2ccc(C)cc2)=CC(/C=C/c2ccc(C)cc2)=[O+]1,CS(C)=O,0.51,deep4chem
COc1ccc(/C=C/C2=CC(/C=C/c3ccc(OC)cc3)=[O+][B-](OC(C)=O)(OC(C)=O)O2)cc1,Cc1ccccc1,0.98,deep4chem
COc1ccc(/C=C/C2=CC(/C=C/c3ccc(OC)cc3)=[O+][B-](OC(C)=O)(OC(C)=O)O2)cc1,C1CCOC1,0.95,deep4chem
COc1ccc(/C=C/C2=CC(/C=C/c3ccc(OC)cc3)=[O+][B-](OC(C)=O)(OC(C)=O)O2)cc1,ClC(Cl)Cl,0.91,deep4chem
COc1ccc(/C=C/C2=CC(/C=C/c3ccc(OC)cc3)=[O+][B-](OC(C)=O)(OC(C)=O)O2)cc1,ClCCl,0.92,deep4chem
COc1ccc(/C=C/C2=CC(/C=C/c3ccc(OC)cc3)=[O+][B-](OC(C)=O)(OC(C)=O)O2)cc1,CC(C)=O,0.88,deep4chem
COc1ccc(/C=C/C2=CC(/C=C/c3ccc(OC)cc3)=[O+][B-](OC(C)=O)(OC(C)=O)O2)cc1,CC#N,0.85,deep4chem
COc1ccc(/C=C/C2=CC(/C=C/c3ccc(OC)cc3)=[O+][B-](OC(C)=O)(OC(C)=O)O2)cc1,CS(C)=O,0.83,deep4chem
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2cccc3ccccc23)=CC(/C=C/c2cccc3ccccc23)=[O+]1,Cc1ccccc1,0.84,deep4chem
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2cccc3ccccc23)=CC(/C=C/c2cccc3ccccc23)=[O+]1,C1CCOC1,0.75,deep4chem
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2cccc3ccccc23)=CC(/C=C/c2cccc3ccccc23)=[O+]1,ClC(Cl)Cl,0.73,deep4chem
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2cccc3ccccc23)=CC(/C=C/c2cccc3ccccc23)=[O+]1,ClCCl,0.64,deep4chem
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2cccc3ccccc23)=CC(/C=C/c2cccc3ccccc23)=[O+]1,CC(C)=O,0.58,deep4chem
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2cccc3ccccc23)=CC(/C=C/c2cccc3ccccc23)=[O+]1,CC#N,0.43,deep4chem
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2cccc3ccccc23)=CC(/C=C/c2cccc3ccccc23)=[O+]1,CS(C)=O,0.38,deep4chem
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/C=C/c2ccccc2)=CC(/C=C/C=C/c2ccccc2)=[O+]1,Cc1ccccc1,0.74,deep4chem
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/C=C/c2ccccc2)=CC(/C=C/C=C/c2ccccc2)=[O+]1,C1CCOC1,0.61,deep4chem
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/C=C/c2ccccc2)=CC(/C=C/C=C/c2ccccc2)=[O+]1,ClC(Cl)Cl,0.47,deep4chem
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/C=C/c2ccccc2)=CC(/C=C/C=C/c2ccccc2)=[O+]1,ClCCl,0.45,deep4chem
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/C=C/c2ccccc2)=CC(/C=C/C=C/c2ccccc2)=[O+]1,CC(C)=O,0.41,deep4chem
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/C=C/c2ccccc2)=CC(/C=C/C=C/c2ccccc2)=[O+]1,CC#N,0.33,deep4chem
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/C=C/c2ccccc2)=CC(/C=C/C=C/c2ccccc2)=[O+]1,CS(C)=O,0.38,deep4chem
c1ccc(-c2nn(-c3ccccn3)c3nc4ccccc4cc23)cc1,C1CCCCC1,0.18,deep4chem
c1ccc(-c2nn(-c3ccccn3)c3nc4ccccc4cc23)cc1,CCCCOCCCC,0.25,deep4chem
c1ccc(-c2nn(-c3ccccn3)c3nc4ccccc4cc23)cc1,C1CCOC1,0.39,deep4chem
c1ccc(-c2nn(-c3ccccn3)c3nc4ccccc4cc23)cc1,CC(C)=O,0.37,deep4chem
c1ccc(-c2nn(-c3ccccn3)c3nc4ccccc4cc23)cc1,CN(C)C=O,0.42,deep4chem
c1ccc(-c2nn(-c3ccccn3)c3nc4ccccc4cc23)cc1,CC#N,0.41,deep4chem
CC1(C)C(=O)C=Cc2ccc(O)cc21,O,0.05,deep4chem
CC1(C)C(=O)C=Cc2ccc(N)cc21,O,0.14,deep4chem
CCNc1ccc2c(c1)C(C)(C)C(=O)C=C2,O,0.18,deep4chem
CN(C)c1ccc2c(c1)C(C)(C)C(=O)C=C2,O,0.13,deep4chem
CCN(CC)c1ccc2c(c1)C(C)(C)C(=O)C=C2,O,0.09,deep4chem
CC1(C)C(=O)C=Cc2ccc(N3CCC3)cc21,O,0.13,deep4chem
COc1ccc(-c2ccc(-c3ccc(C#N)s3)s2)cc1,O,0.03,deep4chem
COc1ccc(-c2ccc(-c3ccc(C#N)s3)s2)cc1,CO,0.24,deep4chem
COc1ccc(-c2ccc(-c3ccc(C#N)s3)s2)cc1,CCO,0.23,deep4chem
COc1ccc(-c2ccc(-c3ccc(C#N)s3)s2)cc1,CC(C)O,0.23,deep4chem
COc1ccc(-c2ccc(-c3ccc(C#N)s3)s2)cc1,CCCCO,0.23,deep4chem
COc1ccc(-c2ccc(-c3ccc(C#N)s3)s2)cc1,C1COCCO1,0.09,deep4chem
COc1ccc(-c2ccc(-c3ccc(C#N)s3)s2)cc1,CCOC(C)=O,0.11,deep4chem
COc1ccc(-c2ccc(-c3ccc(C#N)s3)s2)cc1,CC#N,0.25,deep4chem
COc1ccc(-c2ccc(-c3ccc(C#N)s3)s2)cc1,CN(C)C=O,0.38,deep4chem
COc1ccc(-c2ccc(-c3ccc(C#N)s3)s2)cc1,CS(C)=O,0.49,deep4chem
COc1ccc(-c2ccc(-c3ccc(C#N)s3)s2)cc1,ClC(Cl)Cl,0.17,deep4chem
COc1ccc(-c2ccc(-c3ccc(C#N)s3)s2)cc1,ClCCl,0.22,deep4chem
COc1ccc(-c2ccc(-c3ccc(C#N)s3)s2)cc1,Cc1ccccc1,0.08,deep4chem
COc1ccc(-c2ccc(-c3ccc(C#N)s3)s2)cc1,C1CCCCC1,0.07,deep4chem
COc1cc(OC)cc(-c2ccc(-c3ccc(C#N)s3)s2)c1,O,0.02,deep4chem
COc1cc(OC)cc(-c2ccc(-c3ccc(C#N)s3)s2)c1,CO,0.1,deep4chem
