smiles,solvent,abs_peakwavs_max,abs_bandwidth,abs_molar_ext_coeff,emi_peakwavs_max,emi_bandwidth,quantum_yield,log_lifetime,source
Cc1cc(C)c(C2=C3C=CC=[N+]3[B-]3(c4ccc5ccc6cccc7ccc4c5c67)Oc4cc(O)cc5c6ccc(C)cc6c6cc2n3c6c45)c(C)c1,ClC(Cl)Cl,647.0,53.5,4.785329835,670.0,41.1,0.24,3.5,deep4chem
c1ccc(-c2nn(-c3ccccc3)c3nc4ccccc4cc23)cc1,C1CCCCC1,401.4452027,55.8,3.819543936,443.6557232,52.6,0.86,17.9,deep4chem
c1ccc(-c2nn(-c3ccccc3)c3nc4ccccc4cc23)cc1,CC#N,396.8253968,52.9,3.843855423,478.0114723,75.5,0.73,25.1,deep4chem
CN(C)c1ccc2nc3c(cc2c1)c(-c1ccccc1)nn3-c1ccccc1,C1CCCCC1,439.5604396,66.8,3.829946696,444.4444444,43.2,0.84,16.1,deep4chem
CN(C)c1ccc2nc3c(cc2c1)c(-c1ccccc1)nn3-c1ccccc1,CC#N,449.2362983,75.6,3.760422483,561.4823133,85.7,0.57,24.5,deep4chem
c1ccc(-c2nn(-c3ccccc3)c3nc4ccc(N(c5ccccc5)c5ccccc5)cc4cc23)cc1,C1CCCCC1,452.079566,62.8,3.937517892,486.6180049,52.6,0.76,16.1,deep4chem
c1ccc(-c2nn(-c3ccccc3)c3nc4ccc(N(c5ccccc5)c5ccccc5)cc4cc23)cc1,CC#N,447.0272687,69.8,3.866877814,570.7762557,129.2,0.46,22.4,deep4chem
c1ccc(-c2nn(-c3ccccc3)c3nc4ccc(N(c5ccccc5)c5cccc6ccccc56)cc4cc23)cc1,C1CCCCC1,448.0286738,61.5,3.933487288,484.7309743,53.9,0.57,11.3,deep4chem
c1ccc(-c2nn(-c3ccccc3)c3nc4ccc(N(c5ccccc5)c5cccc6ccccc56)cc4cc23)cc1,CC#N,445.0378282,66.6,3.893206753,555.247085,123.2,0.41,16.3,deep4chem
c1ccc(-c2nn(-c3ccccc3)c3nc4ccc(-n5c6ccccc6c6ccccc65)cc4cc23)cc1,C1CCCCC1,419.1114837,60.9,3.86923172,461.6805171,53.3,0.88,17.6,deep4chem
c1ccc(-c2nn(-c3ccccc3)c3nc4ccc(-n5c6ccccc6c6ccccc65)cc4cc23)cc1,CC#N,411.0152076,63.3,3.908485019,482.6254826,86.5,0.72,21.8,deep4chem
c1csc(-c2ccc(-c3cccs3)c3nsnc23)c1,ClC(Cl)Cl,445.0,93.1,3.903957709,565.0,93.1,0.59,10.24,deep4chem
c1ccc(N(c2ccccc2)c2ccc(-c3ccc(-c4ccc(-c5cccs5)c5nsnc45)s3)cc2)cc1,ClC(Cl)Cl,495.0,127.2,3.954580163,670.0,127.2,0.33,6.62,deep4chem
c1ccc(N(c2ccccc2)c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(N(c7ccccc7)c7ccccc7)cc6)s5)c5nsnc45)s3)cc2)cc1,ClC(Cl)Cl,530.0,128.5,4.181414796,690.0,124.3,0.23,5.13,deep4chem
COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc(-c4ccc(-c5cccs5)c5nsnc45)s3)cc2)cc1,ClC(Cl)Cl,510.0,111.4,4.178458936,705.0,143.9,0.28,6.55,deep4chem
COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(N(c7ccc(OC)cc7)c7ccc(OC)cc7)cc6)s5)c5nsnc45)s3)cc2)cc1,ClC(Cl)Cl,545.0,129.8,4.274250243,710.0,134.9,0.18,4.9,deep4chem
COc1cc(OC)c2c3c([nH]c2c1)C(=O)CCC3,C1COCCO1,317.0,51.1,5.194942505,391.0,59.5,0.05,0.43,deep4chem
COc1cc(OC)c2c3c([nH]c2c1)C(=O)CCC3,CCOC(C)=O,317.0,50.2,5.156756965,393.0,59.5,0.07,0.64,deep4chem
COc1cc(OC)c2c3c([nH]c2c1)C(=O)CCC3,CC#N,317.0,51.3,5.193302624,415.0,63.4,0.26,1.15,deep4chem
COc1cc(OC)c2c3c([nH]c2c1)C(=O)CCC3,CS(C)=O,320.0,53.4,5.073625928,414.0,61.8,0.32,2.58,deep4chem
COc1cc(OC)c2c3c([nH]c2c1)C(=O)CCC3,CO,326.0,55.3,5.200382945,466.0,83.0,0.08,0.86,deep4chem
COc1cc(OC)c2c3c([nH]c2c1)C(=O)CCC3,CCCCCCCCCCO,329.0,57.9,5.196072294,434.0,81.7,0.09,0.78,deep4chem
COc1cc(OC)c2c3c([nH]c2c1)C(=O)CCC3,CCCCCCO,329.0,55.9,5.182318945,442.0,81.7,0.08,0.77,deep4chem
COc1cc(OC)c2c3c([nH]c2c1)C(=O)CCC3,CCCCCCCCCCCCO,327.0,56.4,5.222337521,432.0,78.1,0.09,0.84,deep4chem
COc1cc(OC)c2c3c([nH]c2c1)C(=O)CCC3,CCCCCCCCO,329.0,56.1,5.199846448,438.0,80.2,0.07,1.06,deep4chem
COc1cc(OC)c2c3c([nH]c2c1)C(=O)CCC3,O,329.0,60.4,5.201988472,489.0,90.8,0.13,1.83,deep4chem
CC(=O)Nc1ccccc1C(=O)OC1CC(C)CCC1C(C)C,CCO,310.0,36.1,3.73239376,370.0,59.1,0.13,3.6,deep4chem
CC1(C)C(/C=C/C2=C(Oc3ccc(CCN=C=S)cc3I)/C(=C/C=C3/N(CCCS(=O)(=O)[O-])c4ccccc4C3(C)C)CCC2)=[N+](CCCS(=O)(=O)[O-])c2ccccc21,CO,766.0,46.8,5.334453751,796.0,39.4,0.15,0.947,deep4chem
CC1(C)C(/C=C/C2=C(Oc3ccc(CCN=C=S)cc3Br)/C(=C/C=C3/N(CCCS(=O)(=O)[O-])c4ccccc4C3(C)C)CCC2)=[N+](CCCS(=O)(=O)[O-])c2ccccc21,CO,768.0,44.7,5.404833717,798.0,39.7,0.14,0.912,deep4chem
CC1(C)C(/C=C/C2=C(Oc3ccc(CCN=C=S)cc3Cl)/C(=C/C=C3/N(CCCS(=O)(=O)[O-])c4ccccc4C3(C)C)CCC2)=[N+](CCCS(=O)(=O)[O-])c2ccccc21,CO,768.0,44.3,5.378397901,797.0,40.8,0.14,0.88,deep4chem
CC1(C)C(/C=C/C2=C(Oc3ccc(CCN=C=S)cc3F)/C(=C/C=C3/N(CCCS(=O)(=O)[O-])c4ccccc4C3(C)C)CCC2)=[N+](CCCS(=O)(=O)[O-])c2ccccc21,CO,768.0,45.9,5.344392274,797.0,41.4,0.14,0.843,deep4chem
CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(C#Cc2ccc3c4ccc(C#Cc5ccc(C=O)cc5)cc4n(-c4ccc(C(F)(F)F)cc4)c3c2)cc1,ClCCl,377.0,72.4,4.811662124,422.0,71.7,0.21,0.84,deep4chem
CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(C#Cc2ccc3c4ccc(C#Cc5ccc(C=C(C#N)C#N)cc5)cc4n(-c4ccc(C(F)(F)F)cc4)c3c2)cc1,ClCCl,355.0,122.2,4.866570867,454.0,118.4,0.12,0.29,deep4chem
CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(C#Cc2ccc3c4ccc(C#Cc5ccc(/C=C(/C#N)C(=O)O)cc5)cc4n(-c4ccc(C(F)(F)F)cc4)c3c2)cc1,ClCCl,386.0,114.8,4.738312727,426.0,68.5,0.12,1.27,deep4chem
O=C1c2ccc(N(c3ccccc3)c3ccccc3)cc2C(=O)c2ccc(N(c3ccccc3)c3ccccc3)cc21,Cc1ccccc1,449.0,75.5,4.309051494,601.0,91.6,0.2,5.3,deep4chem
O=C1c2ccc(N(c3ccc(-c4ccccc4)cc3)c3ccc(-c4ccccc4)cc3)cc2C(=O)c2ccc(N(c3ccc(-c4ccccc4)cc3)c3ccc(-c4ccccc4)cc3)cc21,Cc1ccccc1,464.0,90.9,4.288117587,629.0,99.1,0.1,3.5,deep4chem
CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc2c(c1)C(=O)c1ccc(-n3c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)ccc43)cc1C2=O,Cc1ccccc1,463.0,82.6,4.002881858,602.0,92.4,0.15,7.5,deep4chem
O=C1c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2C(=O)c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc21,Cc1ccccc1,454.0,86.5,4.33867396,597.0,89.6,0.59,9.0,deep4chem
O=C1c2ccc(-c3ccc(N(c4ccc(-c5ccccc5)cc4)c4ccc(-c5ccccc5)cc4)cc3)cc2C(=O)c2ccc(-c3ccc(N(c4ccc(-c5ccccc5)cc4)c4ccc(-c5ccccc5)cc4)cc3)cc21,Cc1ccccc1,456.0,83.9,4.207862683,608.0,92.6,0.62,11.2,deep4chem
CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(-c2ccc3c(c2)C(=O)c2ccc(-c4ccc(-n5c6ccc(C(C)(C)C)cc6c6cc(C(C)(C)C)ccc65)cc4)cc2C3=O)cc1,Cc1ccccc1,426.0,82.9,3.999421326,558.0,94.2,0.6,12.6,deep4chem
O=S(=O)(c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1)c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,Cc1ccccc1,341.0,40.5,4.47,399.0,49.1,1.0,2.55,deep4chem
COc1cc(OC)cc(C2=[O+][B-](F)(F)OC(c3ccccc3)=C2)c1,ClCCl,369.0,53.4,4.521138084,554.0,141.0,0.05,6.87,deep4chem
COc1ccc(C2=CC(c3cc(OC)cc(OC)c3)=[O+][B-](F)(F)O2)cc1,ClCCl,396.0,55.2,4.674861141,525.0,140.0,0.08,7.4,deep4chem
COc1cc(OC)cc(C2=[O+][B-](F)(F)OC(c3ccc4ccccc4c3)=C2)c1,ClCCl,402.0,78.3,4.546542663,560.0,151.8,0.05,4.84,deep4chem
COc1cc(OC)cc(C2=[O+][B-](F)(F)OC(c3cccs3)=C2)c1,ClCCl,391.0,54.4,4.649334859,567.0,137.7,0.04,4.53,deep4chem
COc1cc(OC)cc(C2=[O+][B-](F)(F)OC(c3ccc4cc(OC)ccc4c3)=C2)c1,ClCCl,427.0,64.3,4.698970004,520.0,94.1,0.95,4.32,deep4chem
Cc1cccc(-c2c3ccccc3c(-c3cccc(C)n3)c3ccccc23)n1,ClCCl,393.0,51.3,4.103803721,428.0,63.1,0.77,6.0,deep4chem
Cc1cccc(-c2c3ccccc3cc3ccccc23)n1,ClCCl,385.0,48.8,3.982271233,418.0,63.1,0.48,5.7,deep4chem
Cc1cccc2[n+]1[B-](c1ccccc1)(c1ccccc1)c1cccc3c4c5c(cccc5c-2c13)[B-](c1ccccc1)(c1ccccc1)[n+]1c(C)cccc1-4,ClCCl,542.0,84.6,4.283301229,611.0,94.5,0.56,10.9,deep4chem
CC[B-]1(CC)c2cccc3c4c5c(cccc5c(c23)-c2cccc(C)[n+]21)[B-](CC)(CC)[n+]1c(C)cccc1-4,ClCCl,538.0,96.1,4.123851641,620.0,97.7,0.53,11.1,deep4chem
CC[B-]1(CC)c2cccc3cc4ccccc4c(c23)-c2cccc(C)[n+]21,ClCCl,453.0,69.4,4.025305865,538.0,93.7,0.202,4.1,deep4chem
C(=C/c1cc(/C=C/c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc(/C=C/c2ccc(-n3c4ccccc4c4ccccc43)cc2)c1)\c1ccc(-n2c3ccccc3c3ccccc32)cc1,Cc1ccccc1,345.0,68.6,4.990338855,401.0,43.2,0.59,3.41,deep4chem
C(=C/c1cc(/C=C/c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc(/C=C/c2ccc(-n3c4ccccc4c4ccccc43)cc2)c1)\c1ccc(-n2c3ccccc3c3ccccc32)cc1,C1CCOC1,343.0,65.5,5.176091259,403.0,53.3,0.8,4.56,deep4chem
C(=C/c1cc(/C=C/c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc(/C=C/c2ccc(-n3c4ccccc4c4ccccc43)cc2)c1)\c1ccc(-n2c3ccccc3c3ccccc32)cc1,ClCCl,344.0,67.3,4.605305046,419.0,62.9,0.75,3.39,deep4chem
C(=C/c1cc(/C=C/c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc(/C=C/c2ccc(-n3c4ccccc4c4ccccc43)cc2)c1)\c1ccc(-n2c3ccccc3c3ccccc32)cc1,CC#N,344.0,63.4,4.167317335,429.0,83.3,0.83,3.84,deep4chem
C(=C/c1nc(/C=C/c2ccc(-n3c4ccccc4c4ccccc43)cc2)nc(/C=C/c2ccc(-n3c4ccccc4c4ccccc43)cc2)n1)\c1ccc(-n2c3ccccc3c3ccccc32)cc1,Cc1ccccc1,389.0,62.0,5.064457989,453.0,71.0,0.55,3.87,deep4chem
C(=C/c1nc(/C=C/c2ccc(-n3c4ccccc4c4ccccc43)cc2)nc(/C=C/c2ccc(-n3c4ccccc4c4ccccc43)cc2)n1)\c1ccc(-n2c3ccccc3c3ccccc32)cc1,CC#N,376.0,73.2,3.966141733,574.0,154.8,0.16,2.03,deep4chem
c1ccc2c(c1)Nc1ccccc1B2c1c2ccccc2cc2ccccc12,ClCCl,394.0,32.8,5.079181246,424.0,67.7,0.19,16.8,deep4chem
c12c3c4c5c1c1c6c7c2c2c8c3c3c9c4c4c%10c5c5c1c1c6c6c%11c%12c%13c%14c%15c%16c%17c%14c%14c%18c%13c%11c1c1c5c%10c5c(c%14c%10c%17c%11c%13c%16c%14c%16c%15c%12c%12c%16c(c2c7c%126)c2c8c3c(c%13c%142)c2c9c4c5c%10c%112)c%181,CC1CCCCC1,470.0,114.3,4.204119983,650.0,93.7,0.0006,0.65,deep4chem
c1cc2ccc3cc4cccc5ccc6cc(c1)c2c3c6c54,ClCCl,433.0,12.8,4.8,437.0,35.7,0.24,3.06,deep4chem
c1ccc(-c2cc3cc4cccc5c(-c6ccccc6)cc6cc7cccc2c7c3c6c45)cc1,ClCCl,439.0,17.6,4.68,442.0,13.6,0.33,4.21,deep4chem
CC(C)(C)c1ccc(-c2c3cccc4c(-c5ccccc5)cc5c(-c6ccc(C(C)(C)C)cc6)c6cccc7c(-c8ccccc8)cc2c(c76)c5c43)cc1,ClCCl,454.0,42.8,4.87,465.0,29.2,0.26,2.98,deep4chem
Cc1ccccc1-c1c2cccc3c(-c4ccc(C(C)(C)C)cc4)cc4c(-c5ccccc5C)c5cccc6c(-c7ccc(C(C)(C)C)cc7)cc1c(c65)c4c32,ClCCl,447.0,43.7,4.68,455.0,37.1,0.28,3.39,deep4chem
CCCCC1=Cc2c3ccc4cccc5ccc(c6cc(-c7ccccc7)n(c26)P1(=O)c1ccccc1)c3c45,C1COCCO1,430.0,58.0,4.59,460.0,59.6,0.55,1.8,deep4chem
CCCCC1=Cc2c3ccc4cccc5ccc(c6cc(-c7ccccc7)n(c26)P1(=O)c1ccccc1)c3c45,ClC(Cl)Cl,431.0,55.8,4.58,458.0,59.4,0.56,1.6,deep4chem
CCCCC1=Cc2c3ccc4cccc5ccc(c6cc(-c7ccccc7)n(c26)P1(=O)c1ccccc1)c3c45,ClCCl,430.0,56.6,4.58,459.0,60.6,0.57,1.6,deep4chem
CCCCC1=Cc2c3ccc4cccc5ccc(c6cc(-c7ccccc7)n(c26)P1(=O)c1ccccc1)c3c45,C1CCOC1,430.0,56.6,4.58,459.0,61.3,0.51,1.7,deep4chem
CCCCC1=Cc2c3ccc4cccc5ccc(c6cc(-c7ccccc7)n(c26)P1(=O)c1ccccc1)c3c45,CC#N,426.0,55.8,4.58,459.0,62.3,0.54,1.8,deep4chem
CCCCC1=Cc2c3ccc4cccc5ccc(c6cc(-c7ccccc7)n(c26)P1(=O)c1ccccc1)c3c45,CO,426.0,55.8,4.57,459.0,62.3,0.51,1.7,deep4chem
CCCCC1=Cc2c3ccc4cccc5ccc(c6cc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)n(c26)P1(=O)c1ccccc1)c3c45,C1CCCCC1,431.0,67.7,4.49,502.0,67.4,0.56,1.8,deep4chem
CCCCC1=Cc2c3ccc4cccc5ccc(c6cc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)n(c26)P1(=O)c1ccccc1)c3c45,Cc1ccccc1,434.0,70.4,4.49,518.0,77.0,0.61,2.0,deep4chem
CCCCC1=Cc2c3ccc4cccc5ccc(c6cc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)n(c26)P1(=O)c1ccccc1)c3c45,C1COCCO1,432.0,65.5,4.5,526.0,86.2,0.61,2.6,deep4chem
CCCCC1=Cc2c3ccc4cccc5ccc(c6cc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)n(c26)P1(=O)c1ccccc1)c3c45,ClC(Cl)Cl,433.0,67.7,4.5,537.0,90.8,0.58,2.8,deep4chem
CCCCC1=Cc2c3ccc4cccc5ccc(c6cc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)n(c26)P1(=O)c1ccccc1)c3c45,ClCCl,431.0,68.7,4.5,551.0,96.1,0.62,3.8,deep4chem
CCCCC1=Cc2c3ccc4cccc5ccc(c6cc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)n(c26)P1(=O)c1ccccc1)c3c45,C1CCOC1,432.0,69.6,4.5,541.0,95.2,0.49,3.2,deep4chem
CCCCC1=Cc2c3ccc4cccc5ccc(c6cc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)n(c26)P1(=O)c1ccccc1)c3c45,CC(C)=O,429.0,67.2,4.5,560.0,100.4,0.52,4.2,deep4chem
CCCCC1=Cc2c3ccc4cccc5ccc(c6cc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)n(c26)P1(=O)c1ccccc1)c3c45,CC#N,428.0,68.0,4.51,572.0,112.5,0.39,4.8,deep4chem
CCCCC1=Cc2c3ccc4cccc5ccc(c6cc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)n(c26)P1(=O)c1ccccc1)c3c45,CO,428.0,68.8,4.52,563.0,110.5,0.29,4.2,deep4chem
O=P1(c2ccccc2)C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)=Cc2c3ccc4cccc5ccc(c6cc(-c7ccccc7)n1c26)c3c45,C1CCCCC1,451.0,74.0,4.5,501.0,64.9,0.54,1.9,deep4chem
O=P1(c2ccccc2)C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)=Cc2c3ccc4cccc5ccc(c6cc(-c7ccccc7)n1c26)c3c45,Cc1ccccc1,453.0,75.3,4.49,514.0,68.1,0.66,2.5,deep4chem
O=P1(c2ccccc2)C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)=Cc2c3ccc4cccc5ccc(c6cc(-c7ccccc7)n1c26)c3c45,C1COCCO1,448.0,73.7,4.51,514.0,70.5,0.62,2.6,deep4chem
O=P1(c2ccccc2)C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)=Cc2c3ccc4cccc5ccc(c6cc(-c7ccccc7)n1c26)c3c45,ClC(Cl)Cl,452.0,72.4,4.5,514.0,69.5,0.6,2.4,deep4chem
O=P1(c2ccccc2)C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)=Cc2c3ccc4cccc5ccc(c6cc(-c7ccccc7)n1c26)c3c45,ClCCl,450.0,74.0,4.51,521.0,71.4,0.61,2.9,deep4chem
O=P1(c2ccccc2)C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)=Cc2c3ccc4cccc5ccc(c6cc(-c7ccccc7)n1c26)c3c45,C1CCOC1,451.0,74.2,4.5,521.0,81.3,0.61,3.1,deep4chem
O=P1(c2ccccc2)C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)=Cc2c3ccc4cccc5ccc(c6cc(-c7ccccc7)n1c26)c3c45,CC(C)=O,446.0,72.1,4.5,526.0,77.9,0.64,3.6,deep4chem
O=P1(c2ccccc2)C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)=Cc2c3ccc4cccc5ccc(c6cc(-c7ccccc7)n1c26)c3c45,CC#N,445.0,72.4,4.51,531.0,78.4,0.63,3.7,deep4chem
O=P1(c2ccccc2)C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)=Cc2c3ccc4cccc5ccc(c6cc(-c7ccccc7)n1c26)c3c45,CO,444.0,72.4,4.5,524.0,85.2,0.65,3.8,deep4chem
O=P1(c2ccccc2)C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)=Cc2c3ccc4cccc5ccc(c6cc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)n1c26)c3c45,C1CCCCC1,434.0,88.5,4.61,558.0,86.4,0.44,4.3,deep4chem
O=P1(c2ccccc2)C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)=Cc2c3ccc4cccc5ccc(c6cc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)n1c26)c3c45,Cc1ccccc1,441.0,90.7,4.58,586.0,107.7,0.49,6.2,deep4chem
O=P1(c2ccccc2)C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)=Cc2c3ccc4cccc5ccc(c6cc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)n1c26)c3c45,C1COCCO1,436.0,88.0,4.62,595.0,109.2,0.48,6.6,deep4chem
O=P1(c2ccccc2)C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)=Cc2c3ccc4cccc5ccc(c6cc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)n1c26)c3c45,ClC(Cl)Cl,441.0,87.4,4.61,603.0,97.6,0.49,7.2,deep4chem
O=P1(c2ccccc2)C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)=Cc2c3ccc4cccc5ccc(c6cc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)n1c26)c3c45,ClCCl,437.0,88.5,4.62,622.0,114.0,0.23,5.8,deep4chem
O=P1(c2ccccc2)C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)=Cc2c3ccc4cccc5ccc(c6cc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)n1c26)c3c45,C1CCOC1,437.0,89.1,4.61,620.0,114.3,0.17,4.016,deep4chem
O=P1(c2ccccc2)C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)=Cc2c3ccc4cccc5ccc(c6cc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)n1c26)c3c45,CC(C)=O,435.0,86.6,4.62,635.0,121.5,0.11,2.174,deep4chem
O=P1(c2ccccc2)C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)=Cc2c3ccc4cccc5ccc(c6cc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)n1c26)c3c45,CC#N,434.0,86.3,4.62,645.0,128.7,0.004,1.226,deep4chem
O=P1(c2ccccc2)C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)=Cc2c3ccc4cccc5ccc(c6cc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)n1c26)c3c45,CO,444.0,85.5,4.63,636.0,128.4,0.004,0.75,deep4chem
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12,CC#N,446.0,100.5,3.835690571,585.0,93.7,0.1,8.5,deep4chem
O=C1NC(=O)c2c1c1c3ccccc3[nH]c1c1[nH]c3ccccc3c21,CC#N,402.0,90.6,3.747256397,500.0,72.4,0.33,10.0,deep4chem
CN(C)c1ccc(C2=Cc3c4ccccc4cc[n+]3[B-](F)(F)O2)cc1,ClC(Cl)Cl,466.0,68.5,4.498310554,512.4,53.2,0.743,2.3417,deep4chem
COc1ccc(C2=Cc3c4ccccc4cc[n+]3[B-](F)(F)O2)cc1,ClC(Cl)Cl,410.5,61.0,4.588831726,478.2,68.2,0.313,0.9577,deep4chem
Cc1ccc(C2=Cc3c4ccccc4cc[n+]3[B-](F)(F)O2)cc1,ClC(Cl)Cl,404.0,59.1,4.546542663,471.0,74.5,0.087,0.3767,deep4chem
Cc1cccc(C2=Cc3c4ccccc4cc[n+]3[B-](F)(F)O2)c1,ClC(Cl)Cl,401.5,58.4,4.5132176,464.8,75.9,0.06,0.2521,deep4chem
F[B-]1(F)OC(c2ccccc2)=Cc2c3ccccc3cc[n+]21,ClC(Cl)Cl,400.0,58.4,4.496929648,463.2,76.0,0.046,0.2023,deep4chem
F[B-]1(F)OC(c2ccc(Br)cc2)=Cc2c3ccccc3cc[n+]21,ClC(Cl)Cl,403.0,60.0,4.579783597,466.4,77.8,0.049,0.2321,deep4chem
F[B-]1(F)OC(c2cccc(Br)c2)=Cc2c3ccccc3cc[n+]21,ClC(Cl)Cl,399.5,59.4,4.484299839,465.0,78.4,0.033,0.1732,deep4chem
F[B-]1(F)OC(c2ccc(C(F)(F)F)cc2)=Cc2c3ccccc3cc[n+]21,ClC(Cl)Cl,398.5,58.9,4.421603927,464.6,81.1,0.026,0.1397,deep4chem
CC(C)(C)c1ccc(C(C)(C)C)c(N2C(=O)c3cccc4c(-c5ccc(-c6ccccc6)s5)ccc(c34)C2=O)c1,Cc1ccccc1,398.0,70.2,4.184691431,493.0,81.1,0.06,0.21,deep4chem
CC(C)(C)c1ccc(C(C)(C)C)c(N2C(=O)c3cccc4c(-c5ccc(-c6ccccc6)s5)ccc(c34)C2=O)c1,CS(C)=O,405.0,77.7,4.225309282,557.0,106.3,0.43,2.62,deep4chem
CC(C)(C)c1ccc(C(C)(C)C)c(N2C(=O)c3cccc4c(-c5ccc(-c6ccccc6)s5)ccc(c34)C2=O)c1,CO,403.0,80.2,4.250420002,572.0,116.6,0.34,2.53,deep4chem
CC(C)(C)c1ccc(C(C)(C)C)c(N2C(=O)c3cccc4c(-c5ccc(-c6ccc([N+](=O)[O-])cc6)s5)ccc(c34)C2=O)c1,Cc1ccccc1,392.0,82.3,4.469822016,479.0,76.7,0.07,0.22,deep4chem
CC(C)(C)c1ccc(C(C)(C)C)c(N2C(=O)c3cccc4c(-c5ccc(-c6ccc([N+](=O)[O-])cc6)s5)ccc(c34)C2=O)c1,CS(C)=O,400.0,84.8,4.436162647,538.0,129.1,0.17,0.55,deep4chem
CC(C)(C)c1ccc(C(C)(C)C)c(N2C(=O)c3cccc4c(-c5ccc(-c6ccc([N+](=O)[O-])cc6)s5)ccc(c34)C2=O)c1,CO,393.0,92.2,4.324282455,531.0,108.1,0.03,0.2,deep4chem
CC(C)(C)c1ccc(C(C)(C)C)c(N2C(=O)c3cccc4c(-c5ccc(-c6ccc(N(c7ccccc7)c7ccccc7)cc6)s5)ccc(c34)C2=O)c1,Cc1ccccc1,440.0,91.7,4.26245109,575.0,108.4,0.56,2.6,deep4chem
CC1=[N+]2C(=C(Oc3ccccc3)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,C1CCCCC1,582.0,95.5,4.783903579,630.0,80.4,0.89,2.76,deep4chem
CC1=[N+]2C(=C(Oc3ccccc3)c3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,CCOC(C)=O,577.0,94.9,4.769377326,665.0,127.3,0.16,0.92,deep4chem
CC1=[N+]2C(=Cc3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,C1CCCCC1,592.5,95.7,4.793790385,636.0,62.0,0.98,2.74,deep4chem
