"SMI","lambda1 (sTDA, nm)","F1 (sTDA)","lamda1  (TD-DFT, nm)","F1 (TD-DFT)","lambda_max (Exp,  nm)","extinction (Lmol-1cm-1)","solvent"
Cc1ccc2c(c1)N=CCC2=O,305,9.98E-05,NaN,NaN,337,NaN,NaN
CN(CCNc1ccc2c3c1cccc3c1c2nc2c(n1)cc(cc2)[N+](=O)[O-])C,358.3,0.146775334,NaN,NaN,324,NaN,NaN
COc1nc(c(n1C)C#N)C#N,237.6,0.465658067,NaN,NaN,271,NaN,NaN
COc1ccc2c(c1)cc1c(n2)nc2c(c1)c1cc(OC)c(cc1C2)OC,343.5,0.090458446,NaN,NaN,398,NaN,acetone
N#Cc1cc2cc3ccccc3nc2nc1N,355.3,0.097060311,NaN,NaN,387,NaN,acetone
OC1=C(C(c2ccc(cc2)[N+](=O)[O-])Nc2ccccc2)C(=O)c2c(C1=O)cccc2,382.5,0.004517661,NaN,NaN,476,3801.893963,NaN
CC[C@@H]([C@H](C(=O)c1ccccc1)[C@H](c1cccc(c1)C(F)(F)F)C[N+](=O)[O-])c1ccccc1,298,0.001872705,NaN,NaN,NaN,NaN,NaN
CCN(c1ccc2c(c1)oc1c(c2C#N)c2nc3c(n2c(=N)c1C#N)cccc3)CC,422.4,1.137604902,NaN,NaN,640,NaN,Chloroform
Cc1ccc(s1)c1c2sc(cc2c(c2c1cc(s2)Br)c1ccc(s1)C)Br,323,0.625849696,NaN,NaN,348,NaN,chloroform
O=c1c2cccc3c2c2c(c1=O)cccc2c(=O)c3=O,471,1.00E-09,NaN,NaN,290,NaN,DMF
CCN(c1ccc(cc1)C=Cc1ccn2c(c1)nc(c2)c1ccccc1)CC,334.7,1.813627156,NaN,NaN,425,38904.5145,TFA
Cn1c2ccc(cc2c2c1ccc(c2)N(c1ccc(cc1)OC)c1ccccc1)N(c1ccc(cc1)C=C(C(=O)O)C#N)c1ccc(cc1)OC,346.6,1.189278833,NaN,NaN,443,NaN,CH 2 Cl 2
CN1C(=O)c2c(C1=O)cc1c(c2)c2cc(OC)c(cc2c2c1cc(OC)c(c2)OC)OC,325.7,0.005241018,NaN,NaN,416,55000,NaN
O=C[C@@H]([C@@H](c1ccc(cc1)Br)C[N+](=O)[O-])C(C)C,293.8,8.09E-05,NaN,NaN,NaN,NaN,NaN
O=Cc1ccccc1,305.4,3.41E-05,NaN,NaN,324,1340,NaN
C1(C)c2cc(ccc2c2c1cc(cc2)C=C(c1cccs1)C#N)C=C(c1cccs1)C#N,348.4,1.135862491,NaN,NaN,291,NaN,DMSO
O=Cc1ccc(cc1)N(c1c2ccccc2cc2c1cccc2)c1ccccc1,374.4,0.240316831,NaN,NaN,349,NaN,NaN
c1ccc2c(c1)c(ccc2)n1cccc1,288.5,0.119770416,NaN,NaN,356,NaN,CHCl3
CCc1nccnc1C(=O)C=Cc1ccc(cc1)F,352.5,0.00272992,NaN,NaN,310,NaN,ethanol
C=Cc1ccccn1,265,0.006233643,NaN,NaN,444,43200,NaN
CCOC(=O)c1[nH]c(c(c1C)C(=O)CBr)C,293.1,0.008324369,NaN,NaN,523,NaN,TFA
c1ccc(cc1)c1ccc2c(c1)c(c1c(c2c2ccc3c(c2)cccc3)cccc1)c1cccc2c1ccc1c2cc2c(c1)cccc2,380.3,0.431004958,NaN,NaN,406,14000,NaN
O=C(c1cccnc1)NC1=CC(=O)C(=O)c2c1cccc2,492.5,5.11E-05,NaN,NaN,268,NaN,ethanol
Fc1ccc(cc1)C=CC(=O)c1nnn(c1C)c1ccnc2c1ccc(c2)Cl,318.6,0.001974698,NaN,NaN,237,NaN,methanol
Clc1ccccc1N=NC(=NNc1nc2c(s1)cccc2)c1ccccn1,486.5,0.004046412,NaN,NaN,505,NaN,NaN
N#Cc1c(NC(=O)c2ccccc2)nc(cc1c1cccc(c1)[N+](=O)[O-])c1ccccc1NC(=O)OC(C)(C)C,316.7,5.15E-05,NaN,NaN,NaN,NaN,NaN
COc1ccc(cc1)c1sc(c(c1)C)C1=C(c2sc(cc2C)c2ccc(cc2)OC)C(C(C1(F)F)(F)F)(F)F,337.2,1.218896728,370.6774486,1.037844271,440,NaN,NaN
CC(C1=CC(=CC=Cc2cccnn2)C=C(O1)C(C)(C)C)(C)C,364.8,0.010581795,NaN,NaN,410,NaN,dichloromethane
O=C1OC(=O)c2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)C(=O)OC1=O,431.6,0.94263392,NaN,NaN,500,NaN,NaN
CCOC(=O)c1ccc(cn1)C(=O)OCC,291.1,0.003309224,NaN,NaN,513,NaN,acetonitrile
CCn1c2ccccc2c2c1ccc(c2)C=CC(=O)c1c(=O)oc2c(c1O)cccc2,333.6,1.397172779,NaN,NaN,467,NaN,MeOH
CC(C(=O)Nc1ccc(cc1)S(=O)(=O)N)N1CCC(CC1)C,253.1,0.253176393,NaN,NaN,270,NaN,NaN
OCCC#Cc1cc(C#Cc2ccccc2)c2c(c1)c(C#Cc1ccc(cc1)Cl)nc(n2)c1ccccc1,357.5,0.929060768,NaN,NaN,401,70870,NaN
Clc1ccc(cc1)c1cc(n(n1)Cc1ccc(nc1)Cl)c1nnc(o1)COc1ccc(cc1)[N+](=O)[O-],313.3,2.90E-07,NaN,NaN,263,43050,DCM
CN(c1ccc(cc1)C=c1oc(=Cc2ccccc2)c2c1cccc2)C,366.9,0.859013542,NaN,NaN,404,38000,NaN
C1(C)c2cc(ccc2c2c1cc(cc2)c1ccc(s1)n1c2ccccc2c2c1cccc2)c1ccc(s1)n1c2ccccc2c2c1cccc2,320.4,1.935736824,NaN,NaN,371,NaN,NaN
CN1c2c(cccc2Sc2c1cccc2)C=Nc1ccc2c(c1)Sc1c(N2C)cccc1,332.9,0.477264181,NaN,NaN,403,6993,DCM
Cn1c2ccc(cc2c2c1cccc2)C(c1ccccc1N(c1ccccc1)c1ccccc1)c1ccc2c(c1)c1ccccc1n2C,290.8,0.042689472,NaN,NaN,273,NaN,NaN
[O-][N+](=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],315.8,7.27E-06,NaN,NaN,323,NaN,NaN
COC(=O)c1n2nc(ccc2c(c1C(=O)OC)C(=O)OC)c1ccc(cc1)Br,314.2,0.05342099,NaN,NaN,350,NaN,acetonitrile
O=C(c1ccc(cc1)OCc1ccccc1)CC(=O)c1ccc(cc1)C(C)(C)C,298.5,0.015720563,NaN,NaN,364,NaN,NaN
COc1ccc(cc1)C#Cc1c2ccccc2c(c2c1cc1c3ccccc3C(c1c2)(C)C)C#Cc1ccc(cc1)OC,445.4,1.142492334,NaN,NaN,486,NaN,dichloromethane
CCN(c1ccc2c(c1)oc(=NC(=O)Nc1ccc(cc1)C)c(c2)C#N)CC,327.8,1.01773475,NaN,NaN,442,NaN,NaN
O=C1OC(C(=C1Br)NCc1ccccc1Cl)OCc1ccccc1,234.6,0.052973083,NaN,NaN,274,NaN,NaN
CC(Cn1cnc2c1cc([N+](=O)[O-])c1c2c(on1)c1ccc(cc1)[N+](=O)[O-])C,352.7,0.721585191,NaN,NaN,425,NaN,NaN
O=c1c2cccc3c2c(c2n1c1ccccc1n2)ccc3,342.3,0.437871927,NaN,NaN,605,NaN,Ethanol
C=Cc1c2ccccc2cc2c1cccc2,367,0.166060388,NaN,NaN,371,NaN,Acetonitrile
Oc1cc2O[C@H](c3ccc(c(c3)O)O)[C@H](Cc2c(c1)O)O,250.2,0.047033349,NaN,NaN,293,NaN,NaN
c1ccc(cc1)Cn1c2ccc(cc2c2c1ccc(c2)C#Cc1ccncc1)C#Cc1ccncc1,300.5,0.015881523,NaN,NaN,351,42200,NaN
COc1cc2nc(C=Cc3ccc(cc3)c3cc(nc(c3)c3ccccn3)c3ccccn3)c(nc2cc1OC)C=Cc1ccc(cc1)N(C)C,354.4,1.087482055,NaN,NaN,603,NaN,NaN
Cn1c2cc(ccc2c2c1cc(cc2)N(c1ccc2c(c1)C(C)(C)c1c2cccc1)c1ccccc1)c1ccc(s1)C=O,341.5,1.228999767,NaN,NaN,422,32900,NaN
COC1OC(=O)C(=C1Nc1cccc2c1cccc2)Br,289.5,0.143442961,NaN,NaN,296,NaN,NaN
Cc1cc(cc(c1O)Br)C1(OS(=O)(=O)c2c1cccc2)c1cc(C)c(c(c1)Br)O,248.1,0.030350213,NaN,NaN,589,NaN,NaN
COc1ccc(cc1)C#C[C@H](c1ccccc1)O,254.5,0.118060649,NaN,NaN,NaN,NaN,NaN
[O-][N+](=O)c1ccc(cc1)C=CC=CC=Cc1ccc2c(c1)c(=C1SC=CS1)c1c(c2=C2SC=CS2)cccc1,384.7,2.622220135,NaN,NaN,490,NaN,NaN
[O-][N+](=O)c1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])C,317.3,0.002807421,NaN,NaN,619,NaN,NaN
[O-][N+](=O)c1ccc2c(c1)nc1c(n2)c2c3c1cccc3ccc2,329.7,0.006655633,NaN,NaN,348,NaN,NaN
CCN(c1ccc(cc1)C(=C)c1ccc(cc1)c1ccc(cc1)C(=C)c1ccc(cc1)N(CC)CC)CC,275.9,0.971286595,NaN,NaN,487,NaN,NaN
Clc1cc(C=CC(=O)c2nnn(c2C)c2ccnc3c2ccc(c3)Cl)cc(c1)Cl,324.4,9.08E-05,NaN,NaN,236,NaN,methanol
COc1ccc(cc1)C(=CC=C(C(=O)C(F)(F)F)C(=O)C(F)(F)F)c1ccc(cc1)OC,366.6,0.433413558,NaN,NaN,447,NaN,NaN
[O-][N+](=O)C[C@@H](c1ccco1)O,296.5,0.000170026,NaN,NaN,NaN,NaN,NaN
OCCOc1ccc2c3c1cccc3c(=O)n(c2=O)CC(C)C,322.4,0.282205531,NaN,NaN,363,NaN,Acetone
COc1ccc2c(c1)sc(n2)N=Nc1c(N)nn2c1nc(N)c(c2N)N=Nc1sc2c(n1)ccc(c2)C,439.8,0.000307836,NaN,NaN,540,NaN,NaN
CCC(CCc1ccccc1)O,234.6,0.001456412,NaN,NaN,NaN,NaN,NaN
CCC1=C(C)C2=C(c3cccc(c3)O)c3[nH]c(c(c3C)CC)C=C3N=C(C=c4[nH]c(=CC1=N2)c(C)c4CC)C(=C3C)CC,627.4,0.00422829,NaN,NaN,822,124700,PhCN
Cc1ccc(cc1)N(c1ccccc1)c1ccc(cc1)C=CC(=O)c1cc(sc1C)C,335.2,0.84089873,354.0584642,0.140278625,415,NaN,NaN
O=NN1C(c2ccccc2)C2CCC[C@@](C1c1ccccc1)(C2)C,423.3,0.004588497,NaN,NaN,425,NaN,MeOH
[O-][N+](=O)c1ccccc1O,303.5,4.16E-05,NaN,NaN,346,1752,NaN
O=c1oc(c(c2c1ccs2)C#CC(O)(C)C)C(O)(C)C,283.7,0.302509721,NaN,NaN,NaN,NaN,NaN
CCOC(=O)C1=C(NC(=O)C1=NNc1ccc(cc1O)[N+](=O)[O-])c1ccccc1,378.2,1.205261737,NaN,NaN,624,NaN,THF
CC(=CC1C(C1(C)C)C(=O)OCc1coc(c1)Cc1ccccc1)C,235.1,0.018173962,NaN,NaN,NaN,NaN,NaN
C[C@@H]1N[C@H](C)CN(C1)c1c(F)c(N)c2c(c1F)n(cc(c2=O)C(=O)O)C1CC1,316.1,0.1536778,NaN,NaN,NaN,NaN,NaN
[O-][N+](=O)c1ccc(cc1)N=NC(=NNc1ccccc1)c1ccccc1,519.9,0.000846037,NaN,NaN,413,NaN,NaN
Oc1cccc(c1c1nc2c(s1)cccc2)O,288,0.474962503,NaN,NaN,335,NaN,Water
O[C@@H](C[C@H](CC(=O)O)O)CCn1c(C(C)C)c(c(c1c1ccc(cc1)F)c1ccccc1)C(=O)Nc1ccccc1,256.2,0.245523235,NaN,NaN,NaN,NaN,NaN
[O-][N+](=O)c1cc2C(=CC=CC=CC=C3C=C(OC(=C3)c3ccccc3)c3ccccc3)c3c(c2c(c1)[N+](=O)[O-])c(cc(c3)[N+](=O)[O-])[N+](=O)[O-],497.1,3.158382721,NaN,NaN,748,NaN,Toluene
Cc1ccc(cc1)Cn1c(nc(c1c1ccco1)c1ccco1)c1ccco1,278.5,0.798229301,NaN,NaN,312,NaN,NaN
CN(c1ccc2c(c1)oc1c2C(=O)C(c2c1cccc2)(C)C)C,324.7,0.611934149,NaN,NaN,538,NaN,Acetonitrile
Oc1cc(O)c2c(c1)O[C@@H]([C@@H]([C@H]2c1c(O)cc(c2c1O[C@@H]([C@H](C2)O)c1ccc(c(c1)O)O)O)O)c1ccc(c(c1)O)O,251.1,0.030028775,NaN,NaN,NaN,NaN,NaN
Oc1ccc(c(c1)O)C(=O)C=Cc1ccc(c(c1)O)O,307.5,1.132502685,NaN,NaN,NaN,NaN,NaN
COc1ccc(cc1)c1ccnc2c1ccc(n2)NC(=O)C,281.3,0.002498995,NaN,NaN,327,NaN,water
O=C1OC(=O)c2c3c1ccc1c3c(cc2)c2c3c1cccc3ccc2,413.6,0.738137635,NaN,NaN,495,NaN,NaN
c1ccc2c(c1)Oc1c(N2)cccc1,310.5,0.0143481,NaN,NaN,556,NaN,NaN
Brc1ccc(cc1)C=CCNCCNS(=O)(=O)c1cccc2c1ccnc2,291.2,0.083459171,NaN,NaN,463.08,NaN,NaN
O=Cc1c(O)c2ccccc2n(c1=O)C,305,0.155106906,NaN,NaN,398,NaN,MeOH
Brc1cc(Nc2ccccc2)c2c(c1N)C(=O)c1c(C2=O)cccc1,449.8,0.448933109,NaN,NaN,612,NaN,NaN
N#CC(=Cc1sc(c(c1)CO[Si](C(C)(C)C)(c1ccccc1)c1ccccc1)C=C1C=C(OC(=C1)c1ccccc1)c1ccccc1)C(=O)O,388.4,1.579052094,NaN,NaN,559,NaN,NaN
Cn1c2ccc(cc2c2c1cccc2)C=Cc1ccc(cc1)SC,313.6,0.85940169,NaN,NaN,337,NaN,Cyclohexane
Clc1cccc(c1)N=Nc1c([nH]c2n1nc(c2N=Nc1ccccc1)C)c1ccccc1,445.2,0.001964991,NaN,NaN,533,NaN,dioxane
N#CC(=C(c1ccc(cc1)n1ccc2c1cccc2)C#N)c1ccc(cc1)n1ccc2c1cccc2,322.3,0.271806613,NaN,NaN,572,NaN,THF
CCN(c1ccc2c(c1)oc(=O)c1c2OC(=C(C1c1ccc(cc1)[N+](=O)[O-])C#N)N)CC,315.6,5.64E-05,NaN,NaN,367,NaN,NaN
O=C(C(c1ccc(cc1)O)NC1=CC(=O)C(=CC1=O)C)NC1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C,405.7,0.028064623,NaN,NaN,277,NaN,NaN
CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccccn1)CC,326.2,1.098868667,NaN,NaN,414,NaN,NaN
Cc1nc(c2n1ccc(c2)c1nnc(o1)COc1ccccc1C)Cl,357.2,0.20135293,NaN,NaN,377,NaN,CH3CN
C(=NO)c1ccccn1,254.1,0.004846205,NaN,NaN,271,NaN,NaN
CN(c1ccc2c3c1cccc3c1c2nc2c(n1)cc(c(c2)C(=O)O)C(=O)O)c1ccccc1,360.5,0.494733256,NaN,NaN,435,NaN,NaN
C=CCC1CCc2c(N1S(=O)(=O)c1ccccc1[N+](=O)[O-])cccc2,308.3,0.003396908,NaN,NaN,NaN,NaN,NaN
CC1(C)c2cc(ccc2N(c2c1cccc2)c1ccccc1)c1ccc(cc1)c1nc(c(n1c1ccccc1)c1ccccc1)c1ccccc1,303.2,1.375976032,NaN,NaN,349,NaN,THF
[O-][N+](=O)c1cccc(c1)[N+](=O)[O-],315.9,5.80E-06,NaN,NaN,NaN,NaN,NaN
Oc1ccc2c(c1)c(O)cc(=O)o2,291.2,0.148218689,NaN,NaN,287,NaN,NaN
N#Cc1c(C#N)nc(n1C)c1ccc(cc1)c1ccccc1,268.3,0.925287999,NaN,NaN,286,NaN,NaN
CCOC(=O)c1cc(=O)c2c(o1)cccc2OC,317.1,0.002110243,NaN,NaN,327,NaN,NaN
Clc1ccc2c(c1)c1cc(ccc1[nH]2)[N+](=O)[O-],312.9,1.82E-05,NaN,NaN,339,NaN,NaN
O=C1NOCC1NCc1c(cnc(c1O)C)COP(=O)(O)O,251,0.123558755,NaN,NaN,NaN,NaN,NaN
c1ccc(cc1)C#Cc1ccc(cc1)N=Nc1ccc(cc1)C#Cc1ccccc1,447.9,0.00210072,NaN,NaN,385,NaN,NaN
CCOC(=O)c1cc2ccc(c(c2oc1=O)CN(CC(=O)O)CC(=O)O)OCCN(CC(=O)O)CC(=O)O,294,0.594181796,NaN,NaN,365,NaN,NaN
CCC(Nc1cc(ccc1N1C(=O)CCC1(CO)CO)C(=O)O)CC,278.5,0.091087743,NaN,NaN,528,37300,NaN
Cc1ccc2c(n1)cccc2,274.7,0.0375004,NaN,NaN,528,NaN,NaN
Cc1ccc(cc1)NN=C(C(=O)c1ccccc1)c1nc(C)cc(=O)[nH]1,334.7,0.963318874,NaN,NaN,396,18620.87137,NaN
CCN(c1cccc(c1)[N+](=O)[O-])CC,336.9,0.057846984,NaN,NaN,413.6,NaN,NaN
Clc1ccccc1N=Nc1nc2c(s1)cccc2,498.3,0.011022444,NaN,NaN,348,NaN,Methanol
CCOC(=O)C1=C(NC(=O)C1=NNc1ccc(cc1)C#N)c1ccccc1,350.4,1.323753998,NaN,NaN,443,NaN,NaN
CCOc1ccc(cc1)C=Cc1nc2cc(OCCC(C)C)c(cc2nc1C=Cc1ccc(cc1)OCC)OCCC(C)C,356.2,0.930610728,NaN,NaN,514,NaN,NaN
Cc1nc(c2n1ccc(c2)c1nnc(o1)c1ccccc1)Cl,358,0.284261846,NaN,NaN,285,25500,dichloromethane
[O-][n+]1cccc2c1c1[n+]([O-])cccc1C2=O,451,0.108908766,NaN,NaN,324,NaN,NaN
CN(c1ccccc1)N=C1C(=O)C(=O)C1=NN(c1ccccc1)C,600.1,0.004355593,NaN,NaN,514,NaN,NaN
O1CCN(CC1)c1ccc(cc1)C=c1oc(=Cc2ccccc2)c2c1cccc2,363.2,0.843981337,NaN,NaN,390,35000,NaN
CC1=NC(=Cc2ccc(cc2)N(C)C)C(=O)N1CCN1C(=NC(=Cc2ccc(cc2)N(C)C)C1=O)C,340.4,1.089062437,NaN,NaN,436,36300,methanol
CCN1BN(c2c1cccc2)CCc1cccs1,257.8,0.0793743,NaN,NaN,296,NaN,NaN
C(Cn1c2ccc(cc2c2c1cccc2)c1ccc(c2c1nsn2)c1ccc(s1)C=C(C(=O)O)C#N)CC,415.7,1.441552945,NaN,NaN,484,26206,NaN
Cc1ccc(cc1)C(C1=C(O)C(=O)c2c(C1=O)cccc2)Nc1ccccc1,428.3,0.00084698,NaN,NaN,514,2511.886432,NaN
O=c1cc[nH]c(=O)[nH]1,236.8,0.000797845,NaN,NaN,340,NaN,NaN
CSCC(=O)CC(c1ccc(cc1)Cl)O,273.3,0.004602911,NaN,NaN,NaN,NaN,NaN
c1ccc(cc1)c1c2ccccc2c(c2c1c(c1ccccc1)c1ccccc1c2c1ccccc1)c1ccccc1,478.3,0.3512835,NaN,NaN,NaN,NaN,NaN
CCN(c1ccc2c(c1)oc(=NC(=O)NCNC(=O)N=c1oc3cc(ccc3cc1C#N)N(CC)CC)c(c2)C#N)CC,330.3,1.662508821,NaN,NaN,439,NaN,NaN
CCn1c2ccc(cc2c2c1ccc(c2)N(c1ccc(cc1)C)c1ccc(cc1)C)N(c1ccc(cc1)C)c1ccc(cc1)C,335.6,0.055465497,NaN,NaN,405,46500,NaN
c1ccc(cc1)n1c2ccc(cc2c2c1cccc2)c1sc(c2c1cccc2)c1cccs1,376.5,0.833579791,404.7274042,0.613828546,445,NaN,CH 2 Cl
COc1ccc(cc1)c1c([nH]c2c1cccc2)c1ccc(cc1)S(=O)(=O)C,306.1,0.509819837,NaN,NaN,237,NaN,NaN
CCN(c1ccc(cc1)C=CC(=O)O)CC,295.1,0.836314075,313.4634364,0.911826463,367,35550,DMF
CN(c1c[nH]c(=O)[nH]c1=O)C,276.6,0.160510546,NaN,NaN,465,NaN,NaN
Oc1cc2c(=O)oc3c4c2c(c1O)oc(=O)c4cc(c3O)O,301.9,0.24747944,NaN,NaN,364,NaN,NaN
O[C@@H]1[C@H](O)[C@H](O[C@H]1n1cnc2c1nc(N)[nH]c2=O)COP(=O)(O)O,240.7,0.193988175,NaN,NaN,254,NaN,NaN
COc1cc(C=CC(=O)c2cc3ccccc3oc2=O)cc(c1OC)OC,344.7,0.003283642,NaN,NaN,368,NaN,NaN
CSc1ccc(cc1)c1cc(c2ccc(cc2)SC)c2c3c1ccc1c3c(cc2)c(cc1c1ccc(cc1)SC)c1ccc(cc1)SC,365.1,1.024437794,NaN,NaN,403,NaN,Cyclohexane
NC(=O)C[C@@H](C(=O)O)Nc1nc2c(s1)cc(cc2)F,258.4,0.026553066,NaN,NaN,278,NaN,NaN
C[Si](C#Cc1ccc2c(c1)Cc1c2ccc(c1)C#C[Si](C)(C)C)(C)C,300.8,1.498269856,NaN,NaN,NaN,NaN,NaN
Oc1ccc(cc1)c1coc2c(c1=O)c(O)cc(c2)O,277.6,0.069777986,NaN,NaN,325,NaN,NaN
c1cnc2c(n1)c1nccnc1cc2,326.8,5.21E-06,NaN,NaN,403,NaN,Cl
O=Cc1ccc(cc1)[N+](=O)[O-],320.2,0.000157836,NaN,NaN,332,NaN,ethanol
O=c1cc2cc(O)c3c4c2c(o1)ccc4ccc3,357.4,0.349660538,NaN,NaN,470,NaN,NaN
OCC(=O)CCc1ccc(cc1)F,248.2,0.000334513,NaN,NaN,NaN,NaN,NaN
CC(c1ccc(c2c(c1)c(C)cc2N=Nc1sc2c(n1)ccc(c2)[N+](=O)[O-])C)C,481.7,0.01254806,NaN,NaN,551,NaN,NaN
Cc1ccc2c(c1)C(=O)CC=N2,308.4,7.85E-05,NaN,NaN,336,NaN,NaN
CNc1ccc(cc1)[N+](=O)[O-],311.6,2.16E-06,NaN,NaN,384.8,NaN,NaN
N=C1N=C(C(=C1c1cccn1c1cccs1)c1csc(c1)c1ccccc1)c1ccccc1,413.7,0.122343625,NaN,NaN,625,NaN,NaN
N#CC(=Cc1ccc(s1)c1ccc2c3c1ccc1c3c(cc2)ccc1)C(=O)O,362.9,1.222043814,NaN,NaN,483.4,24900,THF
CCn1c2c(cc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)N(c1ccccc1)c1ccccc1,301.8,0.129242414,NaN,NaN,362,NaN,NaN
Cc1cc(=O)oc2c1ccc(c2)C#C,285.4,0.398018004,NaN,NaN,328,22000,NaN
COc1cc(OC)cc2c1c(CC(=O)NCc1nnn(c1)C([C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1ccc(=O)[nH]c1=O)O)cc(=O)o2,280.4,0.364723223,NaN,NaN,323,NaN,NaN
O=C1CCC=C2N1c1ccc3c(c1C2(C)C)cccc3,303.7,0.082167565,NaN,NaN,251,32410,NaN
c1ccc2c(c1)C(c1ccc(cc1)n1c3ccccc3c3c1cccc3)(c1ccc(cc1)n1c3ccccc3c3c1cccc3)c1c2cccc1,284.9,0.078286241,NaN,NaN,431,NaN,dichloromethane
Cc1cc(C=Nc2c(cccc2C(C)C)C(C)C)c(c(c1)C(c1ccccc1)c1ccccc1)O,295.9,0.268159641,NaN,NaN,346,NaN,Toluene
Brc1ccc(c(c1)C=Nc1cccc2c1nc(cc2)c1nc2c([nH]1)cccc2)O,351.5,0.259418642,NaN,NaN,164,NaN,NaN
Cc1ccc(cc1)N=C(C(F)(F)F)n1c(=S)sc2c1cccc2,309,0.015572863,NaN,NaN,NaN,NaN,NaN
COc1ccc(cc1)[C@@H](C#Cc1ccccc1)O,246.7,0.291110195,NaN,NaN,NaN,NaN,NaN
CC(=O)OCCn1c(=O)c2ccc(c3c2c(c1=O)ccc3)Oc1ccc(cc1)F,324.5,0.348005652,NaN,NaN,NaN,NaN,NaN
COc1cc(ccc1OC)C1C(C(C1c1ccnc2c1cccc2)c1ccc(c(c1)OC)OC)c1ccnc2c1cccc2,280.8,0.171779767,NaN,NaN,282,NaN,NaN
COc1ccc2c(c1)sc(n2)N=Nc1c([nH]c2c1cccc2)c1ccccc1,466,0.00199204,NaN,NaN,543,NaN,Chloroform
O=c1oc(cc2c1ccs2)C(O)(C)C,277.2,0.318722594,NaN,NaN,NaN,NaN,NaN
Nc1ccc2c3c1cccc3c1c2nc2c(n1)cccc2,348.5,0.151294062,NaN,NaN,412,NaN,NaN
CCN(C1(N=Nc2nc3c([nH]2)cccc3)SC=C(N1)c1ccccc1)CC,431.3,0.129476238,NaN,NaN,510,24500,NaN
CSC1=C(SC)SC(=Cc2ccc(s2)C=Cc2ccc(cc2)[N+](=O)[O-])S1,383.4,1.946791024,416.4036709,1.698613415,490,NaN,NaN
CCOC(=O)C=Cc1cc2ccc(cc2oc1=O)c1nnn(c1)Cc1ccccc1,323.8,1.343557256,NaN,NaN,370,7700,NaN
N#CC(=Cc1ncc2c(n1)ccc(c2)N(c1ccccc1)c1ccccc1)C(=O)O,361.6,0.618227902,NaN,NaN,434,NaN,NaN
Cn1c(nc(c1c1ccccc1)c1ccccc1)c1ccc(cc1)c1nc(c(n1C)c1ccccc1)c1ccccc1,299,1.71058516,309.6430983,1.508236348,366,NaN,NaN
Fc1ccc(cc1)C(=C)c1[nH]c2c(c1CCNS(=O)(=O)c1ccccc1[N+](=O)[O-])cccc2,317.4,0.012340808,NaN,NaN,301,NaN,NaN
FC(c1ccc(nc1)c1cccc2c1cccc2)(F)F,296.4,0.251173833,NaN,NaN,298,NaN,CH 2 Cl
C=CC1=C(C)C(=Cc2[nH]c(c(c2C)CCC(=O)O)Cc2[nH]c(c(c2CCC(=O)O)C)C=C2NC(=O)C(=C2C=C)C)NC1=O,335.1,1.469665298,NaN,NaN,667,NaN,NaN
Oc1ccc(c(c1)O)N=Nc1ccccn1,412.4,0.000353349,NaN,NaN,410,NaN,NaN
c1ccc2c(c1)c1ccc(cc1c1c2cccc1)c1cc(cc(c1)n1c2ccccc2c2c1cccc2)n1c2ccccc2c2c1cccc2,301.7,0.071696885,NaN,NaN,293,NaN,NaN
CCN(c1ccc(cc1)c1ccc(cc1)C(=C(C#N)C#N)c1ccc(cc1)c1ccc(cc1)N(CC)CC)CC,322.7,0.889476824,NaN,NaN,460,NaN,NaN
N#CC(=Cc1ccc(s1)C(=Cc1ccc2c3c1ccc1c3c(cc2)ccc1)C#N)C(=O)O,385.9,0.515025993,NaN,NaN,277.5,9830,NaN
CCOC(=O)c1ccncc1,270.3,0.007351005,NaN,NaN,NaN,NaN,NaN
CC(=O)CC(c1ccccc1Cl)O,263,0.000343307,NaN,NaN,NaN,NaN,NaN
c1csc(c1)C=Cc1ccc(s1)c1cnc2c(c1)ccc1c2ncc(c1)c1ccc(s1)C=Cc1cccs1,375.7,3.6936969,NaN,NaN,505,70800,CH 2 Cl 2
c1ccc2c(c1)cc(cc2)C#Cc1ccc(cc1)N=Nc1ccc(cc1)C#Cc1ccc2c(c1)cccc2,447.8,8.73E-05,NaN,NaN,333,NaN,NaN
Nc1nc(c(s1)N=Nc1ccccc1)c1ccc(cc1)NC(=O)c1ccccc1,452.3,0.010613241,NaN,NaN,478,NaN,DMSO
N#CC(=Cc1cn(nc1c1ccccc1)c1ccccc1)c1nc2c(s1)cccc2,328.6,1.304895862,NaN,NaN,383,NaN,Toluene
C=CCOc1nc(Nc2ccc3c(c2)nn(n3)c2ccccc2O)nc(n1)N1C(C)(C)CC(CC1(C)C)OCC=C,311.9,1.074261117,NaN,NaN,340,NaN,NaN
Oc1ccc(c2c1nccc2)N=Nn1scc[nH]1,359.5,0.175452109,NaN,NaN,547,NaN,DMSO
Cc1ccccc1,231.5,0.001921731,NaN,NaN,NaN,NaN,NaN
