Tag,Chromophore,Solvent,Absorption max (nm),Emission max (nm),Lifetime (ns),Quantum yield,log(e/mol-1 dm3 cm-1),abs FWHM (cm-1),emi FWHM (cm-1),abs FWHM (nm),emi FWHM (nm),Molecular weight (g mol-1),Reference
6021,COc1ccc2n1[B-](F)(F)[N+]1=C(c3ccccc3)C=CC1=C2c1ccc(C)cc1,Cc1ccccc1,534,558,2.51,0.51,NaN,1465,NaN,NaN,NaN,388.22386,10.1021/jp073547+
6022,COc1ccc2n1[B-](F)(F)[N+]1=C(c3ccccc3)C=CC1=C2c1ccc(C)cc1,ClC(Cl)Cl,530,557,2.49,0.38,NaN,1448,NaN,NaN,NaN,388.22386,10.1021/jp073547+
6023,COc1ccc2n1[B-](F)(F)[N+]1=C(c3ccccc3)C=CC1=C2c1ccc(C)cc1,C1CCCCC1,532,553,1.5,0.28,NaN,1254,NaN,NaN,NaN,388.22386,10.1021/jp073547+
6024,COc1ccc2n1[B-](F)(F)[N+]1=C(c3ccccc3)C=CC1=C2c1ccc(C)cc1,C1COCCO1,529,556,2.25,0.36,NaN,1526,NaN,NaN,NaN,388.22386,10.1021/jp073547+
6025,COc1ccc2n1[B-](F)(F)[N+]1=C(c3ccccc3)C=CC1=C2c1ccc(C)cc1,C1CCOC1,528,555,1.78,0.3,NaN,1532,NaN,NaN,NaN,388.22386,10.1021/jp073547+
6026,COc1ccc2n1[B-](F)(F)[N+]1=C(c3ccccc3)C=CC1=C2c1ccc(C)cc1,CCOC(C)=O,526,552,1.68,0.28,NaN,1476,NaN,NaN,NaN,388.22386,10.1021/jp073547+
6027,COc1ccc2n1[B-](F)(F)[N+]1=C(c3ccccc3)C=CC1=C2c1ccc(C)cc1,CO,523,550,1.54,0.23,NaN,1841,NaN,NaN,NaN,388.22386,10.1021/jp073547+
6028,CCCCCCCCCCCCCCCCCCC1=[N+]2C(=C(NCCS(=O)(=O)[O-])c3ccc(CCCCCCCCCCCCCCCCCC)n3[B-]2(F)F)C=C1.[Na+],CO,423,487,4.43,0.81,NaN,1984,2485,NaN,NaN,842.05702,DOI: 10.1021/acs.langmuir.6b00478
6029,CCCCCCCCCCCCCCCCCCC1=[N+]2C(=C(NCCS(=O)(=O)[O-])c3ccc(CCCCCCCCCCCCCCCCCC)n3[B-]2(F)F)C=C1.[Na+],CC#N,415,477,3.78,0.71,NaN,2164,2771,NaN,NaN,842.05702,DOI: 10.1021/acs.langmuir.6b00478
6030,CCCCCCCCCCCCCCCCCCC1=[N+]2C(=C(NCCS(=O)(=O)[O-])c3ccc(CCCCCCCCCCCCCCCCCC)n3[B-]2(F)F)C=C1.[Na+],CC(C)=O,415,474,3.38,0.69,NaN,2081,2930,NaN,NaN,842.05702,DOI: 10.1021/acs.langmuir.6b00478
6031,CCCCCCCCCCCCCCCCCCC1=[N+]2C(=C(NCCS(=O)(=O)[O-])c3ccc(CCCCCCCCCCCCCCCCCC)n3[B-]2(F)F)C=C1.[Na+],CCO,424,485,4.16,0.82,NaN,1940,2538,NaN,NaN,842.05702,DOI: 10.1021/acs.langmuir.6b00478
6032,CCCCCCCCCCCCCCCCCCC1=[N+]2C(=C(NCCS(=O)(=O)[O-])c3ccc(CCCCCCCCCCCCCCCCCC)n3[B-]2(F)F)C=C1.[Na+],CC(=O)O,425,494,4.47,0.81,NaN,2044,2412,NaN,NaN,842.05702,DOI: 10.1021/acs.langmuir.6b00478
6033,CCCCCCCCCCCCCCCCCCC1=[N+]2C(=C(NCCS(=O)(=O)[O-])c3ccc(CCCCCCCCCCCCCCCCCC)n3[B-]2(F)F)C=C1.[Na+],CCOC(C)=O,420,480,3.61,0.81,NaN,1977,2609,NaN,NaN,842.05702,DOI: 10.1021/acs.langmuir.6b00478
6034,CCCCCCCCCCCCCCCCCCC1=[N+]2C(=C(NCCS(=O)(=O)[O-])c3ccc(CCCCCCCCCCCCCCCCCC)n3[B-]2(F)F)C=C1.[Na+],CC(C)O,424,483,4.02,0.93,NaN,1887,2563,NaN,NaN,842.05702,DOI: 10.1021/acs.langmuir.6b00478
6035,CCCCCCCCCCCCCCCCCCC1=[N+]2C(=C(NCCS(=O)(=O)[O-])c3ccc(CCCCCCCCCCCCCCCCCC)n3[B-]2(F)F)C=C1.[Na+],C1CCOC1,422,480,3.77,0.79,NaN,2032,2647,NaN,NaN,842.05702,DOI: 10.1021/acs.langmuir.6b00478
6036,CCCCCCCCCCCCCCCCCCC1=[N+]2C(=C(NCCS(=O)(=O)[O-])c3ccc(CCCCCCCCCCCCCCCCCC)n3[B-]2(F)F)C=C1.[Na+],C1CCCCC1,429,487,4,0.62,NaN,2504,4374,NaN,NaN,842.05702,DOI: 10.1021/acs.langmuir.6b00478
6037,CCCCCCCCCCCCCCCCCCC1=[N+]2C(=C(NCCS(=O)(=O)[O-])c3ccc(CCCCCCCCCCCCCCCCCC)n3[B-]2(F)F)C=C1.[Na+],CN(C)C=O,417,476,2.62,0.52,NaN,2105,2977,NaN,NaN,842.05702,DOI: 10.1021/acs.langmuir.6b00478
6038,CCCCCCCCCCCCCCCCCCC1=[N+]2C(=C(NCCS(=O)(=O)[O-])c3ccc(CCCCCCCCCCCCCCCCCC)n3[B-]2(F)F)C=C1.[Na+],CS(C)=O,418,476,1.59,0.38,NaN,2115,2995,NaN,NaN,842.05702,DOI: 10.1021/acs.langmuir.6b00478
6039,CCCCCCCCCCCCCCCCCCC1=[N+]2C(=C(NCCS(=O)(=O)[O-])c3ccc(CCCCCCCCCCCCCCCCCC)n3[B-]2(F)F)C=C1.[Na+],Cc1ccccc1,429,486,3.31,0.58,NaN,2247,3786,NaN,NaN,842.05702,DOI: 10.1021/acs.langmuir.6b00478
6040,COc1ccc(C#Cc2ccc(-c3nn[nH]n3)cc2)cc1OC,Cc1ccccc1,323,379,0.73,NaN,NaN,NaN,NaN,NaN,NaN,306.32416,http://dx.doi.org/10.1021/jp400115c
6041,COc1ccc(C#Cc2ccc(-c3nn[nH]n3)cc2)cc1OC,C1COCCO1,321,385,0.81,NaN,NaN,NaN,NaN,NaN,NaN,306.32416,http://dx.doi.org/10.1021/jp400115c
6042,COc1ccc(C#Cc2ccc(-c3nn[nH]n3)cc2)cc1OC,CCOC(C)=O,321,395,0.86,NaN,NaN,NaN,NaN,NaN,NaN,306.32416,http://dx.doi.org/10.1021/jp400115c
6043,COc1ccc(C#Cc2ccc(-c3nn[nH]n3)cc2)cc1OC,C1CCOC1,324,395,0.94,NaN,NaN,NaN,NaN,96.2,86.1,306.32416,http://dx.doi.org/10.1021/jp400115c
6044,COc1ccc(C#Cc2ccc(-c3nn[nH]n3)cc2)cc1OC,CC#N,315,362,0.46,NaN,NaN,NaN,NaN,NaN,NaN,306.32416,http://dx.doi.org/10.1021/jp400115c
6045,COc1ccc(C#Cc2ccc(-c3nn[nH]n3)cc2)cc1OC,CS(C)=O,318,365,0.66,NaN,NaN,NaN,NaN,NaN,NaN,306.32416,http://dx.doi.org/10.1021/jp400115c
6046,Cc1c2oc3c(C)c(N)cc(C(=O)NC4OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C5CCCN5C(=O)C(C(C)C)NC4=O)c3nc-2c(C(=O)NC2OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C3CCCN3C(=O)C(C(C)C)NC2=O)c(N)c1=O,CS(C)=O,540.289379,637.0075931,1.8,NaN,NaN,3640.2,1824.3,NaN,NaN,1214.34026,10.1021/jp011168p
6047,Cc1c2oc3c(C)c(N)cc(C(=O)NC4OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C5CCCN5C(=O)C(C(C)C)NC4=O)c3nc-2c(C(=O)NC2OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C3CCCN3C(=O)C(C(C)C)NC2=O)c(N)c1=O,CN(C)C=O,535.1829255,640.7832935,NaN,NaN,NaN,3325.3,2063.6,NaN,NaN,1214.34026,10.1021/jp011168p
6048,Cc1c2oc3c(C)c(N)cc(C(=O)NC4OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C5CCCN5C(=O)C(C(C)C)NC4=O)c3nc-2c(C(=O)NC2OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C3CCCN3C(=O)C(C(C)C)NC2=O)c(N)c1=O,CO,529.7002956,673.8362847,0.5,NaN,NaN,3994.4,2153.1,NaN,NaN,1214.34026,10.1021/jp011168p
6049,Cc1c2oc3c(C)c(N)cc(C(=O)NC4OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C5CCCN5C(=O)C(C(C)C)NC4=O)c3nc-2c(C(=O)NC2OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C3CCCN3C(=O)C(C(C)C)NC2=O)c(N)c1=O,CCO,531.9346997,668.999244,1.22,NaN,NaN,3959.1,2184.8,NaN,NaN,1214.34026,10.1021/jp011168p
6050,Cc1c2oc3c(C)c(N)cc(C(=O)NC4OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C5CCCN5C(=O)C(C(C)C)NC4=O)c3nc-2c(C(=O)NC2OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C3CCCN3C(=O)C(C(C)C)NC2=O)c(N)c1=O,CCCCO,532.668563,669.5053694,1.5,NaN,NaN,3880.5,2369.1,NaN,NaN,1214.34026,10.1021/jp011168p
6051,Cc1c2oc3c(C)c(N)cc(C(=O)NC4OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C5CCCN5C(=O)C(C(C)C)NC4=O)c3nc-2c(C(=O)NC2OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C3CCCN3C(=O)C(C(C)C)NC2=O)c(N)c1=O,CCCO,533.2252663,658.6183504,1.34,NaN,NaN,4023.4,1966.1,NaN,NaN,1214.34026,10.1021/jp011168p
6052,Cc1c2oc3c(C)c(N)cc(C(=O)NC4OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C5CCCN5C(=O)C(C(C)C)NC4=O)c3nc-2c(C(=O)NC2OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C3CCCN3C(=O)C(C(C)C)NC2=O)c(N)c1=O,CC#N,516.0278242,634.4131044,1.54,NaN,NaN,3696.8,2490.1,NaN,NaN,1214.34026,10.1021/jp011168p
6053,Cc1c2oc3c(C)c(N)cc(C(=O)NC4OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C5CCCN5C(=O)C(C(C)C)NC4=O)c3nc-2c(C(=O)NC2OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C3CCCN3C(=O)C(C(C)C)NC2=O)c(N)c1=O,c1ccccc1,522.1141446,621.2492079,1.22,NaN,NaN,3678.4,2557.9,NaN,NaN,1214.34026,10.1021/jp011168p
6054,Cc1c2oc3c(C)c(N)cc(C(=O)NC4OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C5CCCN5C(=O)C(C(C)C)NC4=O)c3nc-2c(C(=O)NC2OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C3CCCN3C(=O)C(C(C)C)NC2=O)c(N)c1=O,Cc1ccccc1,528.4406772,613.0719195,1.23,NaN,NaN,3252.3,2458.9,NaN,NaN,1214.34026,10.1021/jp011168p
6055,Cc1c2oc3c(C)c(N)cc(C(=O)NC4OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C5CCCN5C(=O)C(C(C)C)NC4=O)c3nc-2c(C(=O)NC2OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C3CCCN3C(=O)C(C(C)C)NC2=O)c(N)c1=O,CCOC(C)=O,522.6244107,598.7522004,1.19,NaN,NaN,3300.4,2002.9,NaN,NaN,1214.34026,10.1021/jp011168p
6056,Cc1c2oc3c(C)c(N)cc(C(=O)NC4OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C5CCCN5C(=O)C(C(C)C)NC4=O)c3nc-2c(C(=O)NC2OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C3CCCN3C(=O)C(C(C)C)NC2=O)c(N)c1=O,CCCCOC(C)=O,524.0650679,624.0522207,1.1,NaN,NaN,3489.7,2437.6,NaN,NaN,1214.34026,10.1021/jp011168p
6057,Cc1c2oc3c(C)c(N)cc(C(=O)NC4OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C5CCCN5C(=O)C(C(C)C)NC4=O)c3nc-2c(C(=O)NC2OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C3CCCN3C(=O)C(C(C)C)NC2=O)c(N)c1=O,CC(C)=O,522.6872396,609.7226372,0.93,NaN,NaN,3415.2,2151,NaN,NaN,1214.34026,10.1021/jp011168p
6058,Cc1c2oc3c(C)c(N)cc(C(=O)NC4OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C5CCCN5C(=O)C(C(C)C)NC4=O)c3nc-2c(C(=O)NC2OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C3CCCN3C(=O)C(C(C)C)NC2=O)c(N)c1=O,ClCCCl,517.1887687,609.6482939,1.16,NaN,NaN,2517.9,1911.6,NaN,NaN,1214.34026,10.1021/jp011168p
6059,Cc1c2oc3c(C)c(N)cc(C(=O)NC4OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C5CCCN5C(=O)C(C(C)C)NC4=O)c3nc-2c(C(=O)NC2OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C3CCCN3C(=O)C(C(C)C)NC2=O)c(N)c1=O,CCN(CC)CC,534.8880747,597.7715078,0.62,NaN,NaN,3353.8,2235.8,NaN,NaN,1214.34026,10.1021/jp011168p
6060,Cc1c2oc3c(C)c(N)cc(C(=O)NC4OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C5CCCN5C(=O)C(C(C)C)NC4=O)c3nc-2c(C(=O)NC2OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C3CCCN3C(=O)C(C(C)C)NC2=O)c(N)c1=O,C1CCOC1,524.9261166,608.3576169,NaN,NaN,NaN,3224.7,2278.3,NaN,NaN,1214.34026,10.1021/jp011168p
6061,Cc1c2oc3c(C)c(N)cc(C(=O)NC4OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C5CCCN5C(=O)C(C(C)C)NC4=O)c3nc-2c(C(=O)NC2OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C3CCCN3C(=O)C(C(C)C)NC2=O)c(N)c1=O,c1ccncc1,541.1606814,648.0671398,1.53,NaN,NaN,3448.5,1966.3,NaN,NaN,1214.34026,10.1021/jp011168p
6062,Cc1c2oc3c(C)c(N)cc(C(=O)NC4OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C5CCCN5C(=O)C(C(C)C)NC4=O)c3nc-2c(C(=O)NC2OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C3CCCN3C(=O)C(C(C)C)NC2=O)c(N)c1=O,ClC(Cl)Cl,520.1208761,620.1127365,1.02,NaN,NaN,3669.6,2490,NaN,NaN,1214.34026,10.1021/jp011168p
6063,Cc1c2oc3c(C)c(N)cc(C(=O)NC4OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C5CCCN5C(=O)C(C(C)C)NC4=O)c3nc-2c(C(=O)NC2OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C3CCCN3C(=O)C(C(C)C)NC2=O)c(N)c1=O,CC(=O)O,520.998859,638.8633344,0.49,NaN,NaN,3623,3535.4,NaN,NaN,1214.34026,10.1021/jp011168p
6064,Cc1c2oc3c(C)c(N)cc(C(=O)NC4OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C5CCCN5C(=O)C(C(C)C)NC4=O)c3nc-2c(C(=O)NC2OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C3CCCN3C(=O)C(C(C)C)NC2=O)c(N)c1=O,O=[N+]([O-])c1ccccc1,533.9969135,623.2393488,0.37,NaN,NaN,4261,2391,NaN,NaN,1214.34026,10.1021/jp011168p
6065,Cc1c2oc3c(C)c(N)cc(C(=O)NC4OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C5CCCN5C(=O)C(C(C)C)NC4=O)c3nc-2c(C(=O)NC2OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C3CCCN3C(=O)C(C(C)C)NC2=O)c(N)c1=O,O,514.1731838,674.1724533,0.75,NaN,NaN,4782,2167.5,NaN,NaN,1214.34026,10.1021/jp011168p
6066,Cc1c2oc3c(C)c(N)cc(C(=O)NC4OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C5CCCN5C(=O)C(C(C)C)NC4=O)c3nc-2c(C(=O)NC2OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C3CCCN3C(=O)C(C(C)C)NC2=O)c(N)c1=O,[2H]O[2H],NaN,NaN,1.08,NaN,NaN,NaN,NaN,NaN,NaN,1214.34026,10.1021/jp011168p
6067,Cc1c2oc3c(C)c(N)cc(C(=O)NC4OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C5CCCN5C(=O)C(C(C)C)NC4=O)c3nc-2c(C(=O)NC2OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C3CCCN3C(=O)C(C(C)C)NC2=O)c(N)c1=O,C1CCCCC1,NaN,NaN,1.07,NaN,NaN,NaN,NaN,NaN,NaN,1214.34026,10.1021/jp011168p
6068,O=C(O)c1c2ccccc2nc2ccccc12,C1COCCO1,362,421,0.9,0.003,3.861235619,NaN,NaN,NaN,NaN,223.23046,DOI: 10.1021/jp963263h
6069,O=C(O)c1c2ccccc2nc2ccccc12,COCCOC,360,419,1.5,0.006,3.850646235,NaN,NaN,NaN,NaN,223.23046,DOI: 10.1021/jp963263h
6070,O=C(O)c1c2ccccc2nc2ccccc12,C1CCOC1,360,418,1.1,0.002,3.834293512,NaN,NaN,NaN,57.1,223.23046,DOI: 10.1021/jp963263h
6071,O=C(O)c1c2ccccc2nc2ccccc12,ClC(Cl)Cl,362,436,0.6,0.023,3.915294283,NaN,NaN,NaN,NaN,223.23046,DOI: 10.1021/jp963263h
6072,O=C(O)c1c2ccccc2nc2ccccc12,ClCCl,362,422,0.9,0.008,NaN,NaN,NaN,NaN,NaN,223.23046,DOI: 10.1021/jp963263h
6073,O=C(O)c1c2ccccc2nc2ccccc12,CC#N,354,421,0.8,0.013,3.828659897,NaN,NaN,NaN,NaN,223.23046,DOI: 10.1021/jp963263h
6074,O=C(O)c1c2ccccc2nc2ccccc12,CCO,369,421,0.6,0.028,3.727541257,NaN,NaN,NaN,NaN,223.23046,DOI: 10.1021/jp963263h
6075,O=C(O)c1c2ccccc2nc2ccccc12,CO,356,421,0.8,0.031,3.905957699,NaN,NaN,NaN,64.3,223.23046,DOI: 10.1021/jp963263h
6076,O=C(O)c1c2ccccc2nc2ccccc12,OCCO,356,425,0.8,0.037,3.933386042,NaN,NaN,NaN,NaN,223.23046,DOI: 10.1021/jp963263h
6077,O=C(O)c1c2ccccc2nc2ccccc12,CCCO,368,422,0.7,0.034,3.734559822,NaN,NaN,NaN,NaN,223.23046,DOI: 10.1021/jp963263h
6078,O=C(O)c1c2ccccc2nc2ccccc12,CCCCO,370,422,0.8,0.036,3.748343104,NaN,NaN,NaN,NaN,223.23046,DOI: 10.1021/jp963263h
6079,O=C(O)c1c2ccccc2nc2ccccc12,CCCCCO,370,422,0.7,0.036,3.718667735,NaN,NaN,NaN,NaN,223.23046,DOI: 10.1021/jp963263h
6080,COC(=O)c1c2ccccc2nc2ccccc12,C1COCCO1,361,420,0.9,0.004,4.021023822,NaN,NaN,NaN,NaN,237.25734,DOI: 10.1021/jp963263h
6081,COC(=O)c1c2ccccc2nc2ccccc12,COCCOC,361,420,1.3,0.004,4.019531685,NaN,NaN,NaN,NaN,237.25734,DOI: 10.1021/jp963263h
6082,COC(=O)c1c2ccccc2nc2ccccc12,C1CCOC1,361,418,1.1,0.003,4.018034403,NaN,NaN,NaN,50.5,237.25734,DOI: 10.1021/jp963263h
6083,COC(=O)c1c2ccccc2nc2ccccc12,ClC(Cl)Cl,361,428,0.9,0.029,4.081995025,NaN,NaN,NaN,NaN,237.25734,DOI: 10.1021/jp963263h
6084,COC(=O)c1c2ccccc2nc2ccccc12,ClCCl,361,422,1.3,0.014,4.079398339,NaN,NaN,NaN,NaN,237.25734,DOI: 10.1021/jp963263h
6085,COC(=O)c1c2ccccc2nc2ccccc12,CC#N,360,422,0.9,0.011,4.042536137,NaN,NaN,NaN,NaN,237.25734,DOI: 10.1021/jp963263h
6086,COC(=O)c1c2ccccc2nc2ccccc12,CCO,360,432,0.8,0.03,4.049799278,NaN,NaN,NaN,NaN,237.25734,DOI: 10.1021/jp963263h
6087,COC(=O)c1c2ccccc2nc2ccccc12,CO,360,432,1.2,0.032,4.034187121,NaN,NaN,NaN,73.4,237.25734,DOI: 10.1021/jp963263h
6088,COC(=O)c1c2ccccc2nc2ccccc12,OCCO,361,418,1.1,0.061,4.038500943,NaN,NaN,NaN,NaN,237.25734,DOI: 10.1021/jp963263h
6089,COC(=O)c1c2ccccc2nc2ccccc12,CCCO,361,430,0.7,0.041,4.06081112,NaN,NaN,NaN,NaN,237.25734,DOI: 10.1021/jp963263h
6090,COC(=O)c1c2ccccc2nc2ccccc12,CCCCO,360,431,0.8,0.042,4.062920264,NaN,NaN,NaN,NaN,237.25734,DOI: 10.1021/jp963263h
6091,COC(=O)c1c2ccccc2nc2ccccc12,CCCCCO,361,432,0.7,0.03,4.07685881,NaN,NaN,NaN,NaN,237.25734,DOI: 10.1021/jp963263h
6092,Nc1ccc(/C=C/c2ccccc2)cc1,CCCCCC,316,380,NaN,0.03,NaN,NaN,3580,62.2,NaN,195.26422,10.1021/ja016416+
6093,Nc1ccc(/C=C/c2ccccc2)cc1,CC#N,318,423,NaN,0.03,NaN,NaN,3418,NaN,NaN,195.26422,10.1021/ja016416+
6094,CN(C)c1ccc(/C=C/c2ccccc2)cc1,CCCCCC,347,379,NaN,0.03,NaN,NaN,3425,63.7,NaN,223.31798,10.1021/ja016416+
6095,CN(C)c1ccc(/C=C/c2ccccc2)cc1,CC#N,351,440,NaN,0.04,NaN,NaN,3306,NaN,NaN,223.31798,10.1021/ja016416+
6096,C(=C/c1ccc(Nc2ccccc2)cc1)\c1ccccc1,CCCCCC,346,378,0.34,0.51,NaN,NaN,2813,57.8,NaN,271.36198,10.1021/ja016416+
6097,C(=C/c1ccc(Nc2ccccc2)cc1)\c1ccccc1,CC#N,351,436,0.39,0.3,NaN,NaN,3263,NaN,NaN,271.36198,10.1021/ja016416+
6098,CN(c1ccccc1)c1ccc(/C=C/c2ccccc2)cc1,CCCCCC,352,385,0.62,0.64,NaN,NaN,2619,61.4,NaN,285.38886,10.1021/ja016416+
6099,CN(c1ccccc1)c1ccc(/C=C/c2ccccc2)cc1,CC#N,354,450,1.86,0.31,NaN,NaN,3753,NaN,NaN,285.38886,10.1021/ja016416+
6100,C(=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)\c1ccccc1,CCCCCC,362,395,0.51,0.57,NaN,NaN,2485,55.8,NaN,347.45974,10.1021/ja016416+
6101,C(=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)\c1ccccc1,CC#N,362,455,1.37,0.53,NaN,NaN,3368,NaN,NaN,347.45974,10.1021/ja016416+
6102,Cc1cccc(C)c1Nc1ccc(/C=C/c2ccccc2)cc1,CCCCCC,341,375,NaN,0.11,NaN,NaN,3381,61.1,NaN,299.41574,10.1021/ja016416+
6103,Cc1cccc(C)c1Nc1ccc(/C=C/c2ccccc2)cc1,CC#N,347,424,NaN,0.04,NaN,NaN,3370,NaN,NaN,299.41574,10.1021/ja016416+
6104,Nc1ccc(/C=C/c2cccnc2)cc1,CCCCCC,336,390,0.22,0.02,NaN,NaN,NaN,NaN,NaN,196.25228,10.1021/ja016416+
6105,Nc1ccc(/C=C/c2cccnc2)cc1,CC#N,342,446,0.18,0.03,NaN,NaN,NaN,NaN,NaN,196.25228,10.1021/ja016416+
6106,C(=C/c1cccnc1)\c1ccc(Nc2ccccc2)cc1,CCCCCC,352,385,0.29,0.37,NaN,NaN,2729,NaN,NaN,272.35004,10.1021/ja016416+
6107,C(=C/c1cccnc1)\c1ccc(Nc2ccccc2)cc1,CC#N,358,456,0.54,0.25,NaN,NaN,3217,NaN,NaN,272.35004,10.1021/ja016416+
6108,C(=C/c1cccnc1)\c1ccc(N(c2ccccc2)c2ccccc2)cc1,CCCCCC,358,403,0.56,0.55,NaN,NaN,2433,NaN,NaN,348.4478,10.1021/ja016416+
6109,C(=C/c1cccnc1)\c1ccc(N(c2ccccc2)c2ccccc2)cc1,CC#N,367,476,1.52,0.39,NaN,NaN,3370,NaN,NaN,348.4478,10.1021/ja016416+
6110,Cc1cccc(C)c1Nc1ccc(/C=C/c2cccnc2)cc1,CCCCCC,346,383,NaN,0.08,NaN,NaN,3169,NaN,NaN,300.4038,10.1021/ja016416+
6111,Cc1cccc(C)c1Nc1ccc(/C=C/c2cccnc2)cc1,CC#N,351,450,NaN,0.05,NaN,NaN,3149,NaN,NaN,300.4038,10.1021/ja016416+
6112,Nc1ccc(/C=C/c2ccc3ccccc3c2)cc1,CCCCCC,342,392,0.2,0.08,NaN,NaN,NaN,NaN,NaN,245.3241,10.1021/ja016416+
6113,Nc1ccc(/C=C/c2ccc3ccccc3c2)cc1,CC#N,348,450,0.23,0.05,NaN,NaN,NaN,NaN,NaN,245.3241,10.1021/ja016416+
6114,C(=C/c1ccc2ccccc2c1)\c1ccc(Nc2ccccc2)cc1,CCCCCC,355,388,0.34,0.46,NaN,NaN,3274,NaN,NaN,321.42186,10.1021/ja016416+
6115,C(=C/c1ccc2ccccc2c1)\c1ccc(Nc2ccccc2)cc1,CC#N,361,455,0.43,0.28,NaN,NaN,3353,NaN,NaN,321.42186,10.1021/ja016416+
6116,C(=C/c1ccc2ccccc2c1)\c1ccc(N(c2ccccc2)c2ccccc2)cc1,CCCCCC,371,405,0.4,0.61,NaN,NaN,2781,NaN,NaN,397.51962,10.1021/ja016416+
6117,C(=C/c1ccc2ccccc2c1)\c1ccc(N(c2ccccc2)c2ccccc2)cc1,CC#N,371,489,1.09,0.42,NaN,NaN,3300,NaN,NaN,397.51962,10.1021/ja016416+
6118,Cc1cccc(C)c1Nc1ccc(/C=C/c2ccc3ccccc3c2)cc1,CCCCCC,350,385,NaN,0.2,NaN,NaN,3360,NaN,NaN,349.47562,10.1021/ja016416+
6119,Cc1cccc(C)c1Nc1ccc(/C=C/c2ccc3ccccc3c2)cc1,CC#N,356,450,0.2,0.08,NaN,NaN,3526,NaN,NaN,349.47562,10.1021/ja016416+
6120,Cc1csc(C)c1C1=C(c2c(C)sc(-c3ccc(-c4nc(-c5ccccc5)c(-c5ccccc5)[nH]4)cc3)c2C)C(F)(F)C(F)(F)C1(F)F,C1CCOC1,339,410,0.42,0.046,4.322219295,NaN,NaN,NaN,NaN,690.77432,10.1021/jo010267w
6121,CC1=CS[C@]2(C)C1=C1C(=C3C(C)=C(c4ccc(-c5nc(-c6ccccc6)c(-c6ccccc6)[nH]5)cc4)S[C@]32C)C(F)(F)C(F)(F)C1(F)F,C1CCOC1,565,NaN,NaN,NaN,3.806179974,NaN,NaN,NaN,NaN,690.77432,10.1021/jo010267w
6122,Cc1cc(C2=C(c3c(C)sc(-c4ccc(-c5nc(-c6ccccc6)c(-c6ccccc6)[nH]5)cc4)c3C)C(F)(F)C(F)(F)C2(F)F)c(C)s1,C1CCOC1,336,390,0.54,0.077,4.301029996,NaN,NaN,NaN,NaN,690.77432,10.1021/jo010267w
