smiles,solvent,quantum_yield
CCCC1=Cc2nc1ccc1[nH]c(cc1CCO)c1nc(ccc3[nH]c2cc3CCC)C(CCO)=C1,Cc1ccccc1,0.4
CCCC1=Cc2nc1ccc1[nH]c(cc1CCOC)c1nc(ccc3[nH]c2cc3CCC)C(CCOC)=C1,Cc1ccccc1,0.54
COc1cc(OC)cc(C2=C3C(C)=C(I)C(C)=[N+]3[B-](F)(F)n3c(C)c(I)c(C)c32)c1,CS(C)=O,0.03
COc1cc(OC)cc(C2=C3C(C)=C(I)C(C)=[N+]3[B-](F)(F)n3c(/C=C/c4c[nH]c5ccccc45)c(I)c(C)c32)c1,ClCCl,0.19
COc1cc(OC)cc(C2=C3C(C)=C(I)C(C)=[N+]3[B-](F)(F)n3c(/C=C/c4c[nH]c5ccccc45)c(I)c(C)c32)c1,C1CCOC1,0.2
COc1cc(OC)cc(C2=C3C(C)=C(I)C(C)=[N+]3[B-](F)(F)n3c(/C=C/c4c[nH]c5ccccc45)c(I)c(C)c32)c1,CS(C)=O,0.17
COc1cc(OC)cc(C2=C3C(C)=C(I)C(C)=[N+]3[B-](F)(F)n3c(/C=C/c4ccsc4)c(I)c(C)c32)c1,ClCCl,0.4
COc1cc(OC)cc(C2=C3C(C)=C(I)C(C)=[N+]3[B-](F)(F)n3c(/C=C/c4ccsc4)c(I)c(C)c32)c1,C1CCOC1,0.3
COc1cc(OC)cc(C2=C3C(C)=C(I)C(C)=[N+]3[B-](F)(F)n3c(/C=C/c4ccsc4)c(I)c(C)c32)c1,CS(C)=O,0.15
COc1cc(OC)cc(C2=C3C(C)=C(I)C(C)=[N+]3[B-](F)(F)n3c(/C=C/c4c[nH]c5ccc([N+](=O)[O-])cc45)c(I)c(C)c32)c1,ClCCl,0.37
COc1cc(OC)cc(C2=C3C(C)=C(I)C(C)=[N+]3[B-](F)(F)n3c(/C=C/c4c[nH]c5ccc([N+](=O)[O-])cc45)c(I)c(C)c32)c1,C1CCOC1,0.32
COc1cc(OC)cc(C2=C3C(C)=C(I)C(C)=[N+]3[B-](F)(F)n3c(/C=C/c4c[nH]c5ccc([N+](=O)[O-])cc45)c(I)c(C)c32)c1,CS(C)=O,0.19
CCOC(=O)c1[nH]c(C)c(/C=C/c2c(I)c(C)c3n2[B-](F)(F)[N+]2=C(C)C(I)=C(C)C2=C3c2cc(OC)cc(OC)c2)c1C,ClCCl,0.21
CCOC(=O)c1[nH]c(C)c(/C=C/c2c(I)c(C)c3n2[B-](F)(F)[N+]2=C(C)C(I)=C(C)C2=C3c2cc(OC)cc(OC)c2)c1C,C1CCOC1,0.22
CCOC(=O)c1[nH]c(C)c(/C=C/c2c(I)c(C)c3n2[B-](F)(F)[N+]2=C(C)C(I)=C(C)C2=C3c2cc(OC)cc(OC)c2)c1C,CS(C)=O,0.23
COc1cc(OC)cc(C2=C3C(C)=C(I)C(/C=C/c4c[nH]c5ccccc45)=[N+]3[B-](F)(F)n3c(/C=C/c4c[nH]c5ccccc45)c(I)c(C)c32)c1,ClCCl,0.15
COc1cc(OC)cc(C2=C3C(C)=C(I)C(/C=C/c4c[nH]c5ccccc45)=[N+]3[B-](F)(F)n3c(/C=C/c4c[nH]c5ccccc45)c(I)c(C)c32)c1,C1CCOC1,0.12
COc1cc(OC)cc(C2=C3C(C)=C(I)C(/C=C/c4c[nH]c5ccccc45)=[N+]3[B-](F)(F)n3c(/C=C/c4c[nH]c5ccccc45)c(I)c(C)c32)c1,CS(C)=O,0.1
COCCOCCOCCOc1ccc(/C=C/C2=[N+]3C(=C(c4cc(OC)cc(OC)c4)c4c(C)c(I)c(/C=C/c5ccc(OCCOCCOCCOC)cc5)n4[B-]3(F)F)C(C)=C2I)cc1,ClCCl,0.24
COCCOCCOCCOc1ccc(/C=C/C2=[N+]3C(=C(c4cc(OC)cc(OC)c4)c4c(C)c(I)c(/C=C/c5ccc(OCCOCCOCCOC)cc5)n4[B-]3(F)F)C(C)=C2I)cc1,C1CCOC1,0.19
COCCOCCOCCOc1ccc(/C=C/C2=[N+]3C(=C(c4cc(OC)cc(OC)c4)c4c(C)c(I)c(/C=C/c5ccc(OCCOCCOCCOC)cc5)n4[B-]3(F)F)C(C)=C2I)cc1,CS(C)=O,0.17
COc1cc(OC)cc(C2=C3C(C)=C(I)C(/C=C/c4ccsc4)=[N+]3[B-](F)(F)n3c(/C=C/c4ccsc4)c(I)c(C)c32)c1,ClCCl,0.02
COc1cc(OC)cc(C2=C3C(C)=C(I)C(/C=C/c4ccsc4)=[N+]3[B-](F)(F)n3c(/C=C/c4ccsc4)c(I)c(C)c32)c1,C1CCOC1,0.01
COc1cc(OC)cc(C2=C3C(C)=C(I)C(/C=C/c4ccsc4)=[N+]3[B-](F)(F)n3c(/C=C/c4ccsc4)c(I)c(C)c32)c1,CS(C)=O,0.01
COc1cc(OC)cc(C2=C3C(C)=C(I)C(/C=C/c4c[nH]c5ccc([N+](=O)[O-])cc45)=[N+]3[B-](F)(F)n3c(/C=C/c4c[nH]c5ccc([N+](=O)[O-])cc45)c(I)c(C)c32)c1,ClCCl,0.02
COc1cc(OC)cc(C2=C3C(C)=C(I)C(/C=C/c4c[nH]c5ccc([N+](=O)[O-])cc45)=[N+]3[B-](F)(F)n3c(/C=C/c4c[nH]c5ccc([N+](=O)[O-])cc45)c(I)c(C)c32)c1,C1CCOC1,0.03
COc1cc(OC)cc(C2=C3C(C)=C(I)C(/C=C/c4c[nH]c5ccc([N+](=O)[O-])cc45)=[N+]3[B-](F)(F)n3c(/C=C/c4c[nH]c5ccc([N+](=O)[O-])cc45)c(I)c(C)c32)c1,CS(C)=O,0.02
c1ccc(-c2nc(-c3ccc(-c4nc(-c5ccccc5)c(-c5ccccc5)[nH]4)cc3)[nH]c2-c2ccccc2)cc1,CS(C)=O,0.94
Cc1ccc(-c2nc(-c3ccc(-c4nc(-c5ccc(C)cc5)c(-c5ccc(C)cc5)[nH]4)cc3)[nH]c2-c2ccc(C)cc2)cc1,CS(C)=O,0.96
Brc1ccc(-c2nc(-c3ccc(-c4nc(-c5ccc(Br)cc5)c(-c5ccc(Br)cc5)[nH]4)cc3)[nH]c2-c2ccc(Br)cc2)cc1,CS(C)=O,0.49
c1ccc2c(c1)c1ccccc1c1[nH]c(-c3ccc(-c4nc5c6ccccc6c6ccccc6c5[nH]4)cc3)nc21,CS(C)=O,0.78
c1cnc2c(c1)c1nc(-c3ccc(-c4nc5c6cccnc6c6ncccc6c5[nH]4)cc3)[nH]c1c1cccnc12,CS(C)=O,0.84
c1ccc2c(c1)c1ccccc1c1[nH]c(-c3ccc(-c4nc5c6ccccc6c6ccccc6c5[nH]4)cc3)nc21,ClCCl,0.76
c1ccc2c(c1)c1ccccc1c1[nH]c(-c3ccc(-c4nc5c6ccccc6c6ccccc6c5[nH]4)cc3)nc21,C1CCOC1,0.79
c1ccc2c(c1)c1ccccc1c1[nH]c(-c3ccc(-c4nc5c6ccccc6c6ccccc6c5[nH]4)cc3)nc21,CC#N,0.76
c1ccc2c(c1)c1ccccc1c1[nH]c(-c3ccc(-c4nc5c6ccccc6c6ccccc6c5[nH]4)cc3)nc21,CCO,0.77
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,O,0.12
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,CO,0.162
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,CCO,0.173
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,CCCO,0.5
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,CC(C)O,0.231
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,CCCCO,0.333
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,CCCCCCO,0.428
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,CCCCCCCCO,0.345
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,OC1CCCCC1,0.778
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,CC(C)=O,0.329
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,CCCC(C)=O,0.22
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,CCC(=O)CC,0.209
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,CC#N,0.343
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,CCCC#N,0.217
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,ClC(Cl)Cl,0.14
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,ClCCl,0.394
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,NC=O,0.277
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,CN(C)C=O,0.245
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,CS(C)=O,0.62
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,C1COCCO1,0.114
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,C1CCOC1,0.1
COc1ccc(-c2c3ccc([nH]3)c3nc(c(-c4ccc([N+](=O)[O-])cc4)c4ccc([nH]4)c4ccc([nH]4)c(-c4ccc(OC)cc4)c4ccc2o4)C=C3)cc1,c1ccccc1,0.08
COc1ccc(-c2c3ccc([nH]3)c3nc(c(-c4ccc([N+](=O)[O-])cc4)c4ccc([nH]4)c4ccc([nH]4)c(-c4ccc(OC)cc4)c4ccc2o4)C=C3)cc1,Cc1ccccc1,0.075
COc1ccc(-c2c3ccc([nH]3)c3nc(c(-c4ccc([N+](=O)[O-])cc4)c4ccc([nH]4)c4ccc([nH]4)c(-c4ccc(OC)cc4)c4ccc2o4)C=C3)cc1,C1CCOC1,0.013
Cc1ccc(-c2c3ccc([nH]3)c3nc(c(-c4ccc([N+](=O)[O-])cc4)c4ccc([nH]4)c4ccc([nH]4)c(-c4ccc(C)cc4)c4ccc2o4)C=C3)cc1,c1ccccc1,0.098
Cc1ccc(-c2c3ccc([nH]3)c3nc(c(-c4ccc([N+](=O)[O-])cc4)c4ccc([nH]4)c4ccc([nH]4)c(-c4ccc(C)cc4)c4ccc2o4)C=C3)cc1,Cc1ccccc1,0.083
Cc1ccc(-c2c3ccc([nH]3)c3nc(c(-c4ccc([N+](=O)[O-])cc4)c4ccc([nH]4)c4ccc([nH]4)c(-c4ccc(C)cc4)c4ccc2o4)C=C3)cc1,C1CCOC1,0.018
COc1ccc(-c2c3ccc([nH]3)c3nc(c(-c4ccc(C#N)cc4)c4ccc([nH]4)c4ccc([nH]4)c(-c4ccc(OC)cc4)c4ccc2o4)C=C3)cc1,c1ccccc1,0.147
COc1ccc(-c2c3ccc([nH]3)c3nc(c(-c4ccc(C#N)cc4)c4ccc([nH]4)c4ccc([nH]4)c(-c4ccc(OC)cc4)c4ccc2o4)C=C3)cc1,Cc1ccccc1,0.141
COc1ccc(-c2c3ccc([nH]3)c3nc(c(-c4ccc(C#N)cc4)c4ccc([nH]4)c4ccc([nH]4)c(-c4ccc(OC)cc4)c4ccc2o4)C=C3)cc1,C1CCOC1,0.072
Cc1ccc(-c2c3ccc([nH]3)c3nc(c(-c4ccc(C#N)cc4)c4ccc([nH]4)c4ccc([nH]4)c(-c4ccc(C)cc4)c4ccc2o4)C=C3)cc1,c1ccccc1,0.175
Cc1ccc(-c2c3ccc([nH]3)c3nc(c(-c4ccc(C#N)cc4)c4ccc([nH]4)c4ccc([nH]4)c(-c4ccc(C)cc4)c4ccc2o4)C=C3)cc1,Cc1ccccc1,0.166
Cc1ccc(-c2c3ccc([nH]3)c3nc(c(-c4ccc(C#N)cc4)c4ccc([nH]4)c4ccc([nH]4)c(-c4ccc(C)cc4)c4ccc2o4)C=C3)cc1,C1CCOC1,0.179
CN(C)c1ccc(C=CC(=O)c2ccccc2)cc1,C1CCCCC1,0.0007
CN(C)c1ccc(C=CC(=O)c2ccccc2)cc1,Cc1ccccc1,0.037
CN(C)c1ccc(C=CC(=O)c2ccccc2)cc1,CCOCC,0.054
CN(C)c1ccc(C=CC(=O)c2ccccc2)cc1,CCOC(C)=O,0.21
CN(C)c1ccc(C=CC(=O)c2ccccc2)cc1,C1CCOC1,0.24
CN(C)c1ccc(C=CC(=O)c2ccccc2)cc1,CC(C)=O,0.33
CN(C)c1ccc(C=CC(=O)c2ccccc2)cc1,CC#N,0.13
CN(C)c1ccc(-c2cc(=O)c3ccccc3o2)cc1,C1CCCCC1,0.007
CN(C)c1ccc(-c2cc(=O)c3ccccc3o2)cc1,Cc1ccccc1,0.76
CN(C)c1ccc(-c2cc(=O)c3ccccc3o2)cc1,CCOCC,0.87
CN(C)c1ccc(-c2cc(=O)c3ccccc3o2)cc1,CCOC(C)=O,1.0
CN(C)c1ccc(-c2cc(=O)c3ccccc3o2)cc1,C1CCOC1,1.0
CN(C)c1ccc(-c2cc(=O)c3ccccc3o2)cc1,CC#N,1.0
CN(C)c1ccc2c(c1)COc1c-2oc2ccccc2c1=O,C1CCCCC1,0.5
CN(C)c1ccc2c(c1)COc1c-2oc2ccccc2c1=O,Cc1ccccc1,1.0
CN(C)c1ccc2c(c1)COc1c-2oc2ccccc2c1=O,CCOCC,1.0
CN(C)c1ccc2c(c1)COc1c-2oc2ccccc2c1=O,CCOC(C)=O,0.95
CN(C)c1ccc2c(c1)COc1c-2oc2ccccc2c1=O,C1CCOC1,0.91
CN(C)c1ccc2c(c1)COc1c-2oc2ccccc2c1=O,CC#N,0.86
COC(=O)C(Cc1ccc2oc(-c3c4ccccc4cc4ccccc34)nc2c1)NC(=O)OC(C)(C)C,CO,0.223
COC(=O)C(Cc1ccc2oc(-c3c4ccccc4cc4ccccc34)nc2c1)NC(=O)OC(C)(C)C,CCO,0.381
COC(=O)C(Cc1ccc2oc(-c3c4ccccc4cc4ccccc34)nc2c1)NC(=O)OC(C)(C)C,CCCCO,0.404
COC(=O)C(Cc1ccc2oc(-c3c4ccccc4cc4ccccc34)nc2c1)NC(=O)OC(C)(C)C,CC(C)O,0.376
COC(=O)C(Cc1ccc2oc(-c3c4ccccc4cc4ccccc34)nc2c1)NC(=O)OC(C)(C)C,CCCCCO,0.4
COC(=O)C(Cc1ccc2oc(-c3c4ccccc4cc4ccccc34)nc2c1)NC(=O)OC(C)(C)C,NC=O,0.263
COC(=O)C(Cc1ccc2oc(-c3c4ccccc4cc4ccccc34)nc2c1)NC(=O)OC(C)(C)C,CNC=O,0.371
COC(=O)C(Cc1ccc2oc(-c3c4ccccc4cc4ccccc34)nc2c1)NC(=O)OC(C)(C)C,CC(O)CO,0.308
COC(=O)C(Cc1ccc2oc(-c3c4ccccc4cc4ccccc34)nc2c1)NC(=O)OC(C)(C)C,OCC(F)(F)F,0.068
COC(=O)C(Cc1ccc2oc(-c3c4ccccc4cc4ccccc34)nc2c1)NC(=O)OC(C)(C)C,OC(C(F)(F)F)C(F)(F)F,0.011
COC(=O)C(Cc1ccc2oc(-c3c4ccccc4cc4ccccc34)nc2c1)NC(=O)OC(C)(C)C,O,0.017
COC(=O)C(Cc1ccc2oc(-c3c4ccccc4cc4ccccc34)nc2c1)NC(=O)OC(C)(C)C,CC(C)=O,0.456
COC(=O)C(Cc1ccc2oc(-c3c4ccccc4cc4ccccc34)nc2c1)NC(=O)OC(C)(C)C,CC#N,0.407
COC(=O)C(Cc1ccc2oc(-c3c4ccccc4cc4ccccc34)nc2c1)NC(=O)OC(C)(C)C,N#Cc1ccccc1,0.441
COC(=O)C(Cc1ccc2oc(-c3c4ccccc4cc4ccccc34)nc2c1)NC(=O)OC(C)(C)C,ClCCl,0.608
COC(=O)C(Cc1ccc2oc(-c3c4ccccc4cc4ccccc34)nc2c1)NC(=O)OC(C)(C)C,ClC(Cl)Cl,0.577
COC(=O)C(Cc1ccc2oc(-c3c4ccccc4cc4ccccc34)nc2c1)NC(=O)OC(C)(C)C,C1CCCCC1,0.637
COC(=O)C(Cc1ccc2oc(-c3c4ccccc4cc4ccccc34)nc2c1)NC(=O)OC(C)(C)C,ClC(Cl)(Cl)Cl,0.63
COC(=O)C(Cc1ccc2oc(-c3c4ccccc4cc4ccccc34)nc2c1)NC(=O)OC(C)(C)C,CCCCCC,0.567
COC(=O)C(Cc1ccc2oc(-c3c4ccccc4cc4ccccc34)nc2c1)NC(=O)OC(C)(C)C,CC1CCCCC1,0.589
COC(=O)C(Cc1ccc2oc(-c3c4ccccc4cc4ccccc34)nc2c1)NC(=O)OC(C)(C)C,CC(C)CC(C)(C)C,0.615
COC(=O)C(Cc1ccc2oc(-c3c4ccccc4cc4ccccc34)nc2c1)NC(=O)OC(C)(C)C,CCOC(C)=O,0.525
COC(=O)C(Cc1ccc2oc(-c3c4ccccc4cc4ccccc34)nc2c1)NC(=O)OC(C)(C)C,C1CCOC1,0.526
COC(=O)C(Cc1ccc2oc(-c3c4ccccc4cc4ccccc34)nc2c1)NC(=O)OC(C)(C)C,CN(C)C=O,0.447
COC(=O)C(Cc1ccc2oc(-c3c4ccccc4cc4ccccc34)nc2c1)NC(=O)OC(C)(C)C,CS(C)=O,0.493
COC(=O)C(Cc1ccc2oc(-c3c4ccccc4cc4ccccc34)nc2c1)NC(=O)OC(C)(C)C,CC1COC(=O)O1,0.463
COC(=O)C(Cc1ccc2oc(-c3c4ccccc4cc4ccccc34)nc2c1)NC(=O)OC(C)(C)C,C1COCCO1,0.542
CCCCc1c2ccccc2c(-c2ccc(-c3nc4cc(CC(NC(=O)OC(C)(C)C)C(=O)OC)ccc4o3)cc2)c2ccccc12,CO,0.265
CCCCc1c2ccccc2c(-c2ccc(-c3nc4cc(CC(NC(=O)OC(C)(C)C)C(=O)OC)ccc4o3)cc2)c2ccccc12,CNC=O,0.38
CCCCc1c2ccccc2c(-c2ccc(-c3nc4cc(CC(NC(=O)OC(C)(C)C)C(=O)OC)ccc4o3)cc2)c2ccccc12,CCCCO,0.5
CCCCc1c2ccccc2c(-c2ccc(-c3nc4cc(CC(NC(=O)OC(C)(C)C)C(=O)OC)ccc4o3)cc2)c2ccccc12,CC(C)O,0.497
CCCCc1c2ccccc2c(-c2ccc(-c3nc4cc(CC(NC(=O)OC(C)(C)C)C(=O)OC)ccc4o3)cc2)c2ccccc12,CCCCCO,0.531
CCCCc1c2ccccc2c(-c2ccc(-c3nc4cc(CC(NC(=O)OC(C)(C)C)C(=O)OC)ccc4o3)cc2)c2ccccc12,NC=O,0.287
CCCCc1c2ccccc2c(-c2ccc(-c3nc4cc(CC(NC(=O)OC(C)(C)C)C(=O)OC)ccc4o3)cc2)c2ccccc12,CC(O)CO,0.529
CCCCc1c2ccccc2c(-c2ccc(-c3nc4cc(CC(NC(=O)OC(C)(C)C)C(=O)OC)ccc4o3)cc2)c2ccccc12,OC(C(F)(F)F)C(F)(F)F,0.015
CCCCc1c2ccccc2c(-c2ccc(-c3nc4cc(CC(NC(=O)OC(C)(C)C)C(=O)OC)ccc4o3)cc2)c2ccccc12,CC#N,0.401
CCCCc1c2ccccc2c(-c2ccc(-c3nc4cc(CC(NC(=O)OC(C)(C)C)C(=O)OC)ccc4o3)cc2)c2ccccc12,N#Cc1ccccc1,0.413
CCCCc1c2ccccc2c(-c2ccc(-c3nc4cc(CC(NC(=O)OC(C)(C)C)C(=O)OC)ccc4o3)cc2)c2ccccc12,ClC(Cl)Cl,0.623
CCCCc1c2ccccc2c(-c2ccc(-c3nc4cc(CC(NC(=O)OC(C)(C)C)C(=O)OC)ccc4o3)cc2)c2ccccc12,C1CCCCC1,0.654
CCCCc1c2ccccc2c(-c2ccc(-c3nc4cc(CC(NC(=O)OC(C)(C)C)C(=O)OC)ccc4o3)cc2)c2ccccc12,CC1CCCCC1,0.646
CCCCc1c2ccccc2c(-c2ccc(-c3nc4cc(CC(NC(=O)OC(C)(C)C)C(=O)OC)ccc4o3)cc2)c2ccccc12,CC(C)CC(C)(C)C,0.576
CCCCc1c2ccccc2c(-c2ccc(-c3nc4cc(CC(NC(=O)OC(C)(C)C)C(=O)OC)ccc4o3)cc2)c2ccccc12,CCOC(C)=O,0.571
CCCCc1c2ccccc2c(-c2ccc(-c3nc4cc(CC(NC(=O)OC(C)(C)C)C(=O)OC)ccc4o3)cc2)c2ccccc12,C1CCOC1,0.591
CCCCc1c2ccccc2c(-c2ccc(-c3nc4cc(CC(NC(=O)OC(C)(C)C)C(=O)OC)ccc4o3)cc2)c2ccccc12,CN(C)C=O,0.544
CCCCc1c2ccccc2c(-c2ccc(-c3nc4cc(CC(NC(=O)OC(C)(C)C)C(=O)OC)ccc4o3)cc2)c2ccccc12,CS(C)=O,0.536
CCCCc1c2ccccc2c(-c2ccc(-c3nc4cc(CC(NC(=O)OC(C)(C)C)C(=O)OC)ccc4o3)cc2)c2ccccc12,CC1COC(=O)O1,0.464
CCCCc1c2ccccc2c(-c2ccc(-c3nc4cc(CC(NC(=O)OC(C)(C)C)C(=O)OC)ccc4o3)cc2)c2ccccc12,C1COCCO1,0.576
CCCCc1c2ccccc2c(-c2ccc(-c3nc4cc(CC(NC(=O)OC(C)(C)C)C(=O)OC)ccc4o3)cc2)c2ccccc12,COCCOC,0.505
O=C([O-])c1ccc2cc3cc(C(=O)[O-])ccc3cc2c1,CN(C)C=O,0.11
O=C(O)c1ccc(C(=O)O)c2cc3ccccc3cc12,C1CCOC1,0.61
O=C(O)c1ccc(C(=O)O)c2cc3ccccc3cc12,CN(C)C=O,0.19
O=C([O-])c1ccc(C(=O)[O-])c2cc3ccccc3cc12,CN(C)C=O,0.066
O=C(O)c1c2ccccc2c(C(=O)O)c2ccccc12,C1CCOC1,0.66
O=C(O)c1c2ccccc2c(C(=O)O)c2ccccc12,CN(C)C=O,0.4
CNc1cccc2c1C(=O)c1ccccc1C2=O,C1CCCCC1,0.0135
CNc1cccc2c1C(=O)c1ccccc1C2=O,CCCCCC,0.0136
CNc1cccc2c1C(=O)c1ccccc1C2=O,CC1CCCCC1,0.0138
CNc1cccc2c1C(=O)c1ccccc1C2=O,CCC(C)CC,0.0136
CNc1cccc2c1C(=O)c1ccccc1C2=O,C1CCC2CCCCC2C1,0.014
CNc1cccc2c1C(=O)c1ccccc1C2=O,CCOC(C)=O,0.0048
CNc1cccc2c1C(=O)c1ccccc1C2=O,CC#N,0.0026
CC(C)(C)/C=C/C1=[N+]2C(=C(c3c4ccccc4cc4ccccc34)c3ccc(/C=C/C(C)(C)C)n3[B-]2(F)F)C=C1,ClC(Cl)Cl,0.58
CC1=[N+]2C(=C(c3c4ccccc4cc4ccccc34)c3ccc(C)n3[B-]2(F)F)C=C1,ClC(Cl)Cl,0.01
CC1=[N+]2C(=C(c3c4ccccc4cc4ccccc34)c3ccc(/C=C/C(C)(C)C)n3[B-]2(F)F)C=C1,ClC(Cl)Cl,0.32
CC1=CC(C)=[N+]2C1=C(c1ccc(I)cc1)c1c(C)cc(C)n1[B-]2(F)F,ClC(Cl)Cl,0.57
CO[B-]1(OC)n2c(C)cc(C)c2C(c2ccc(I)cc2)=C2C(C)=CC(C)=[N+]21,ClC(Cl)Cl,0.52
CC1=CC(C)=[N+]2C1=C(c1ccc(I)cc1)c1c(C)cc(C)n1[B-]2(OCc1ccccc1)OCc1ccccc1,ClC(Cl)Cl,0.65
CC1=CC(C)=[N+]2C1=C(c1ccc(I)cc1)c1c(C)cc(C)n1[B-]2(Oc1ccccc1)Oc1ccccc1,ClC(Cl)Cl,0.06
COc1ccc(O[B-]2(Oc3ccc(OC)cc3)n3c(C)cc(C)c3C(c3ccc(I)cc3)=C3C(C)=CC(C)=[N+]32)cc1,ClC(Cl)Cl,0.004
CC1=CC(C)=[N+]2C1=C(c1ccc(I)cc1)c1c(C)cc(C)n1[B-]21Oc2ccc3ccccc3c2-c2c(ccc3ccccc23)O1,ClC(Cl)Cl,0.002
CC1=CC(C)=[N+]2C1=C(c1ccc(I)cc1)c1c(C)cc(C)n1[B-]21Oc2ccccc2O1,ClC(Cl)Cl,0.0
CC1=CC(C)=[N+]2C1=C(c1ccc(I)cc1)c1c(C)cc(C)n1[B-]21OCCO1,ClC(Cl)Cl,0.14
CCN1C(=O)C(C2C(=O)c3c4ccccc4cc4cc5ccccc5c2c34)SC1=S,CCCCCC,0.33
O=C1c2ccccc2C(=O)C1C1C(=O)c2c3ccccc3cc3cc4ccccc4c1c23,CCCCCC,0.339
O=C1C(=c2c(=O)c3c4ccccc4cc4cc5ccccc5c2c43)C(=O)c2ccccc21,CCCCCC,0.292
CCN1C(=O)C(C2C(=O)c3c4ccccc4cc4cc5ccccc5c2c34)C(=O)N(CC)C1=S,CCCCCC,0.316
CCN1C(=O)C(C2C(=O)c3c4ccccc4cc4cc5ccccc5c2c34)SC1=S,Cc1ccccc1,0.339
O=C1c2ccccc2C(=O)C1C1C(=O)c2c3ccccc3cc3cc4ccccc4c1c23,Cc1ccccc1,0.356
O=C1C(=c2c(=O)c3c4ccccc4cc4cc5ccccc5c2c43)C(=O)c2ccccc21,Cc1ccccc1,0.268
CCN1C(=O)C(C2C(=O)c3c4ccccc4cc4cc5ccccc5c2c34)C(=O)N(CC)C1=S,Cc1ccccc1,0.052
CCN1C(=O)C(C2C(=O)c3c4ccccc4cc4cc5ccccc5c2c34)SC1=S,C1CCOC1,0.258
O=C1c2ccccc2C(=O)C1C1C(=O)c2c3ccccc3cc3cc4ccccc4c1c23,C1CCOC1,0.294
O=C1C(=c2c(=O)c3c4ccccc4cc4cc5ccccc5c2c43)C(=O)c2ccccc21,C1CCOC1,0.235
CCN1C(=O)C(C2C(=O)c3c4ccccc4cc4cc5ccccc5c2c34)C(=O)N(CC)C1=S,C1CCOC1,0.205
CCN1C(=O)C(C2C(=O)c3c4ccccc4cc4cc5ccccc5c2c34)SC1=S,ClCCl,0.229
O=C1c2ccccc2C(=O)C1C1C(=O)c2c3ccccc3cc3cc4ccccc4c1c23,ClCCl,0.247
O=C1C(=c2c(=O)c3c4ccccc4cc4cc5ccccc5c2c43)C(=O)c2ccccc21,ClCCl,0.193
CCN1C(=O)C(C2C(=O)c3c4ccccc4cc4cc5ccccc5c2c34)C(=O)N(CC)C1=S,ClCCl,0.237
CCN1C(=O)C(C2C(=O)c3c4ccccc4cc4cc5ccccc5c2c34)SC1=S,CC#N,0.135
O=C1c2ccccc2C(=O)C1C1C(=O)c2c3ccccc3cc3cc4ccccc4c1c23,CC#N,0.139
O=C1C(=c2c(=O)c3c4ccccc4cc4cc5ccccc5c2c43)C(=O)c2ccccc21,CC#N,0.09
Cc1ccc(C2=C3C=CC(C#Cc4ccccc4)=[N+]3[B-](F)(F)n3c(Cl)ccc32)cc1,Cc1ccccc1,0.91
Cc1ccc(C2=C3C=CC(C#Cc4ccccc4)=[N+]3[B-](F)(F)n3c(Cl)ccc32)cc1,ClC(Cl)Cl,0.95
Cc1ccc(C2=C3C=CC(C#Cc4ccccc4)=[N+]3[B-](F)(F)n3c(Cl)ccc32)cc1,C1CCCCC1,1.0
Cc1ccc(C2=C3C=CC(C#Cc4ccccc4)=[N+]3[B-](F)(F)n3c(Cl)ccc32)cc1,C1COCCO1,0.97
Cc1ccc(C2=C3C=CC(C#Cc4ccccc4)=[N+]3[B-](F)(F)n3c(Cl)ccc32)cc1,C1CCOC1,0.84
Cc1ccc(C2=C3C=CC(C#Cc4ccccc4)=[N+]3[B-](F)(F)n3c(Cl)ccc32)cc1,CCOC(C)=O,0.83
Cc1ccc(C2=C3C=CC(C#Cc4ccccc4)=[N+]3[B-](F)(F)n3c(Cl)ccc32)cc1,CO,0.98
Cc1ccc(C2=C3C=CC(C#Cc4ccccc4)=[N+]3[B-](F)(F)n3c(C#Cc4ccccc4)ccc32)cc1,Cc1ccccc1,1.0
